row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2025 Triệu VND,Năm 2024 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2025 Triệu VND,numeric__Năm 2024 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,21,56.708.635,49.688.521,,21.0,56708635.0,49688521.0
2,2,2,Chi phí lãi và các chi phí tương tự,22,(30.950.747),(22.746.651),,22.0,-30950747.0,-22746651.0
I,I,I,Thu nhập lãi thuần,,25.757.888,26.941.870,,,25757888.0,26941870.0
3,3,3,Thu nhập từ hoạt động dịch vụ,23,4.579.310,5.075.921,,23.0,4579310.0,5075921.0
4,4,4,Chi phí hoạt động dịch vụ,24,(1.899.602),(2.099.078),,24.0,-1899602.0,-2099078.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,,2.679.708,2.976.843,,,2679708.0,2976843.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,25,1.731.300,1.169.955,,25.0,1731300.0,1169955.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,26,(3.426),(11.863),,26.0,-3426.0,-11863.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,27,396.762,450.312,,27.0,396762.0,450312.0
5,5,5,Thu nhập từ hoạt động khác,,1.732.136,1.165.261,,,1732136.0,1165261.0
6,6,6,Chi phí hoạt động khác,,(557.857),(459.987),,,-557857.0,-459987.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,1.174.279,705.274,,28.0,1174279.0,705274.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,57.868,14.492,,29.0,57868.0,14492.0
VIII,VIII,VIII,Chi phí hoạt động,30,(10.344.870),(10.528.840),,30.0,-10344870.0,-10528840.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,21.449.509,21.718.043,,,21449509.0,21718043.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(3.298.461),(1.599.079),,31.0,-3298461.0,-1599079.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,18.151.048,20.118.964,,,18151048.0,20118964.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,32.1,(3.631.675),(4.017.420),,321.0,-3631675.0,-4017420.0
8,8,8,Chi phí thuế thu nhập doanh nghiệp hoãn lại,32.2,(5),(16.345),,322.0,-5.0,-16345.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,32,(3.631.680),(4.033.765),,32.0,-3631680.0,-4033765.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,14.519.368,16.085.199,,,14519368.0,16085199.0
