row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,TSCĐ hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__TSCĐ hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,2.766.685,2.741.137,641.206,182.850,6.331.878,2766685.0,2741137.0,641206.0,182850.0,6331878.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.651,99.932,64.380,14.814,184.777,5651.0,99932.0,64380.0,14814.0,184777.0
Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 13.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 13.1(ii)),Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 13.1(ii)),225.644,8.031,1.822,-,235.497,225644.0,8031.0,1822.0,,235497.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.734),(99.861),(16.428),(9.071),(131.094),-5734.0,-99861.0,-16428.0,-9071.0,-131094.0
Phân loại lại (Thuyết minh 12.2),Nguyên giá > Phân loại lại (Thuyết minh 12.2),Phân loại lại (Thuyết minh 12.2),(4.869),-,-,-,(4.869),-4869.0,,,,-4869.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(227),(265),-,-,(492),-227.0,-265.0,,,-492.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,2.987.150,2.748.974,690.980,188.593,6.615.697,2987150.0,2748974.0,690980.0,188593.0,6615697.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,775.944,1.919.787,320.307,153.745,3.169.783,775944.0,1919787.0,320307.0,153745.0,3169783.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,74.275,291.592,57.646,10.253,433.766,74275.0,291592.0,57646.0,10253.0,433766.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,(2.856),(99.820),(16.428),(9.071),(128.175),-2856.0,-99820.0,-16428.0,-9071.0,-128175.0
Tại ngày 31 tháng 12 năm 2025,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,847.363,2.111.559,361.525,154.927,3.475.374,847363.0,2111559.0,361525.0,154927.0,3475374.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,1.990.741,821.350,320.899,29.105,3.162.095,1990741.0,821350.0,320899.0,29105.0,3162095.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,2.139.787,637.415,329.455,33.666,3.140.323,2139787.0,637415.0,329455.0,33666.0,3140323.0
