row_label_raw,row_label_full,col_0,col_1,Tại ngày > Thuyết minh,Tại ngày > 31.12.2025 Triệu VND,Tại ngày > 31.12.2024 Triệu VND,numeric__col_1,numeric__Tại ngày > Thuyết minh,numeric__Tại ngày > 31.12.2025 Triệu VND,numeric__Tại ngày > 31.12.2024 Triệu VND
1,1,1,Bảo lãnh vay vốn,37.1,83.036,54.784,,371.0,83036.0,54784.0
2,2,2,Cam kết giao dịch hồi đoái,37.1,165.444.063,195.824.188,,371.0,165444063.0,195824188.0
2,2,2,Cam kết mua ngoại tệ,,3.176.017,1.671.699,,,3176017.0,1671699.0
2,2,2,Cam kết bán ngoại tệ,,2.189.273,1.865.951,,,2189273.0,1865951.0
2,2,2,Cam kết giao dịch hoán đổi,,160.078.773,192.286.538,,,160078773.0,192286538.0
4,4,4,Cam kết trong nghiệp vụ L/C,37.1,6.666.479,3.311.773,,371.0,6666479.0,3311773.0
5,5,5,Bảo lãnh khác,37.1,19.772.573,14.262.824,,371.0,19772573.0,14262824.0
6,6,6,Các cam kết khác,37.1,25.031.882,28.349.409,,371.0,25031882.0,28349409.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,38,1.597.531,1.729.633,,38.0,1597531.0,1729633.0
8,8,8,Nợ khó đòi đã xử lý,39,8.503.061,6.687.997,,39.0,8503061.0,6687997.0
9,9,9,Tài sản và chứng từ khác,40,1.960.094,638.473,,40.0,1960094.0,638473.0
