row_label_raw,row_label_full,col_0,Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025),Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025)_1,Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025)_2,numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025),numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025)_1,numeric__Tại ngày 31 tháng 12 năm 2025 > Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2025)_2
,,,Triệu VND,Tài sảnTriệu VND,Công nợTriệu VND,Tổng cộngTriệu VND,,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,3.646.093,-,(31.284),(31.284),3646093.0,,-31284.0,-31284.0
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,80.034.373,350.144,-,350.144,80034373.0,350144.0,,350144.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,,,,
Giao dịch hoán đổi lãi suất,Công cụ tài chính phải sinh khác > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.104.030,5.438,-,5.438,3104030.0,5438.0,,5438.0
,,,86.784.496,355.582,(31.284),324.298,86784496.0,355582.0,-31284.0,324298.0
