row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2025,31.12.2024,31122025.0,31122024.0
,,,Triệu VND,Triệu VND,,
Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,Rủi ro tín dụng liên quan đến các tài sản nội bảng:,,
Tiền gửi tại Ngân hàng Nhà nước,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,16.574.505,25.219.461,16574505.0,25219461.0
Tiền gửi và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,139.216.637,108.053.288,139216637.0,108053288.0
Chứng khoán kinh doanh - chứng khoán nợ,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Chứng khoán kinh doanh - chứng khoán nợ,Chứng khoán kinh doanh - chứng khoán nợ,598.006,841.743,598006.0,841743.0
Các công cụ tài chính phải sinh,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,324.298,55.992,324298.0,55992.0
Cho vay khách hàng,Rủi ro tín dụng liên quan đến các tài sản nội bảng: > Cho vay khách hàng,Cho vay khách hàng,667.921.428,569.734.624,667921428.0,569734624.0
"Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:","Chứng khoán đầu tư, trong đó:",,
- Chứng khoán nợ - đầu tư sẵn sàng để bán,"Chứng khoán đầu tư, trong đó: > - Chứng khoán nợ - đầu tư sẵn sàng để bán",- Chứng khoán nợ - đầu tư sẵn sàng để bán,132.714.613,108.905.816,132714613.0,108905816.0
- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,"Chứng khoán đầu tư, trong đó: > - Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn",- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,11.396.527,12.171.766,11396527.0,12171766.0
Các tài sẵn tài chính khác,"Chứng khoán đầu tư, trong đó: > Các tài sẵn tài chính khác",Các tài sẵn tài chính khác,9.991.745,6.931.761,9991745.0,6931761.0
,,,978.737.759,831.914.451,978737759.0,831914451.0
Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng:,,
Các cam kết ngoại bảng,Rủi ro tín dụng liên quan đến các tài khoản ngoại bảng: > Các cam kết ngoại bảng,Các cam kết ngoại bảng,46.143.810,30.284.395,46143810.0,30284395.0
