row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,1.842.793,1.027.509,2.870.302,1842793.0,1027509.0,2870302.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6,97.231,97.237,6.0,97231.0,97237.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(ii)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 13.1(ii)),37.470,78.585,116.055,37470.0,78585.0,116055.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(57.794),(948),(58.742),-57794.0,-948.0,-58742.0
Phân loại lại (Thuyết minh 12.1),Nguyên giá > Phân loại lại (Thuyết minh 12.1),Phân loại lại (Thuyết minh 12.1),4.869,-,4.869,4869.0,,4869.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,1.827.344,1.202.377,3.029.721,1827344.0,1202377.0,3029721.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2025,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,10.007,696.049,706.056,10007.0,696049.0,706056.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,2.870,109.560,112.430,2870.0,109560.0,112430.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,-,(948),(948),,-948.0,-948.0
Tại ngày 31 tháng 12 năm 2025,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,12.877,804.661,817.538,12877.0,804661.0,817538.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,1.832.786,331.460,2.164.246,1832786.0,331460.0,2164246.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,1.814.467,397.716,2.212.183,1814467.0,397716.0,2212183.0
Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,,,
,,,,31.12.2025Triệu VND,31.12.2024Triệu VND,,,
Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẫn cònsử dụng,Thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẫn cònsử dụng,Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vẫn cònsử dụng,,490.493,448.257,,490493.0,448257.0
