row_label_raw,row_label_full,Số đầu năm(Hoàn nhập)/trích lập dự phòng rủi ro chotài sản có rủi ro tin dụng,Năm nayTriệu đồng > 127.448(304),Năm trướcTriệu đồng > 114.7841.462,numeric__Năm nayTriệu đồng > 127.448(304),numeric__Năm trướcTriệu đồng > 114.7841.462
Trích lập dự phòng rủi ro cho tài sản khác,Trích lập dự phòng rủi ro cho tài sản khác,Trích lập dự phòng rủi ro cho tài sản khác,29.099,41.366,29099.0,41366.0
Sử dung dự phòng xử lý rủi ro,Sử dung dự phòng xử lý rủi ro,Sử dung dự phòng xử lý rủi ro,-,(30.164),,-30164.0
Số cuối năm,Số cuối năm,Số cuối năm,156.243,127.448,156243.0,127448.0
