row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bị dụng cuquản lýTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bị dụng cuquản lýTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,486.893,395.147,171.407,18.965,4.860,1.077.272,486893.0,395147.0,171407.0,18965.0,4860.0,1077272.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.003,38.942,18.686,2.424,526,66.581,6003.0,38942.0,18686.0,2424.0,526.0,66581.0
Thanh lý nhượng bán,Nguyên giá > Thanh lý nhượng bán,Thanh lý nhượng bán,-,(271),(3.844),(151),-,(4.266),,-271.0,-3844.0,-151.0,,-4266.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,492.896,433.818,186.249,21.238,5.386,1.139.587,492896.0,433818.0,186249.0,21238.0,5386.0,1139587.0
Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,Giá trị khấu hao luỹ kê,,,,,,
Số đầu năm,Giá trị khấu hao luỹ kê > Số đầu năm,Số đầu năm,88.567,280.845,118.024,11.896,3.582,502.914,88567.0,280845.0,118024.0,11896.0,3582.0,502914.0
Khẩu hao trong năm,Giá trị khấu hao luỹ kê > Khẩu hao trong năm,Khẩu hao trong năm,10.234,35.678,12.366,3.129,532,61.939,10234.0,35678.0,12366.0,3129.0,532.0,61939.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kê > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(271),(3.844),(149),-,(4.264),,-271.0,-3844.0,-149.0,,-4264.0
Số cuối năm,Giá trị khấu hao luỹ kê > Số cuối năm,Số cuối năm,98.801,316.252,126.546,14.876,4.114,560.589,98801.0,316252.0,126546.0,14876.0,4114.0,560589.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,398.326,114.302,53.383,7.069,1.278,574.358,398326.0,114302.0,53383.0,7069.0,1278.0,574358.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,394.095,117.566,59.703,6.362,1.272,578.998,394095.0,117566.0,59703.0,6362.0,1272.0,578998.0
