row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,230.480,363.838,878,595.196,230480.0,363838.0,878.0,595196.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,29.747,-,29.747,,29747.0,,29747.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,230.480,393.585,878,624.943,230480.0,393585.0,878.0,624943.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,3.109,215.325,878,219.312,3109.0,215325.0,878.0,219312.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,480,28.422,-,28.902,480.0,28422.0,,28902.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,3.589,243.747,878,248.214,3589.0,243747.0,878.0,248214.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,227.371,148.513,-,375.884,227371.0,148513.0,,375884.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,226.891,149.838,-,376.729,226891.0,149838.0,,376729.0
