row_label_raw,row_label_full,Chỉ tiêu > Số đầu năm > Lợi nhuận trong năm,Vốn điều lệ Triệu đồng > 5.713.114,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng > 128.822,Quỹ dự phòng tài chính Triệu đồng > 456.173,Quỹ khác thuộc vốn chủ sở hữu Triệu đồng > 18.108,Lợi nhuận chưa phân phối Triệu đồng > 1.451.429 > 1.091.645,Tổng cộng Triệu đồng > 7.767.646 > 1.091.645,numeric__Vốn điều lệ Triệu đồng > 5.713.114,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng > 128.822,numeric__Quỹ dự phòng tài chính Triệu đồng > 456.173,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu đồng > 18.108,numeric__Lợi nhuận chưa phân phối Triệu đồng > 1.451.429 > 1.091.645,numeric__Tổng cộng Triệu đồng > 7.767.646 > 1.091.645
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,,54.582,109.165,,(163.747),,,54582.0,109165.0,,-163747.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",,,,,(48.448),(48.448),,,,,-48448.0,-48448.0
Số cuối năm,Số cuối năm,Số cuối năm,5.713.114,183.404,565.338,18.108,2.330.879,8.810.843,5713114.0,183404.0,565338.0,18108.0,2330879.0,8810843.0
23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,23.2 Thành phần cố đông của Ngân hàng,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Số cổ phần,Giá trị Triệu đồng,Tỷ lệ sở hữu %,Số cổ phần,Giá trị Triệu đồng,Tỷ lệ sở hữu %,,,,,,
Malayan Banking Berhad,23.2 Thành phần cố đông của Ngân hàng > Malayan Banking Berhad,Malayan Banking Berhad,114.265.019,1.142.650,"20,00",114.265.019,1.142.650,"20,00",114265019.0,1142650.0,20.0,114265019.0,1142650.0,20.0
Công ty Cổ phần Xuất nhập khẩu,Công ty Cổ phần Xuất nhập khẩu,Công ty Cổ phần Xuất nhập khẩu,,,,,,,,,,,,
"Tổng hợp Hà Nội (""Geleximco"")","Công ty Cổ phần Xuất nhập khẩu > Tổng hợp Hà Nội (""Geleximco"")","Tổng hợp Hà Nội (""Geleximco"")",74.222.415,742.224,"12,99",74.222.415,742.224,"12,99",74222415.0,742224.0,12.99,74222415.0,742224.0,12.99
"Công ty Tài chính Quốc tế (""IFC"")","Công ty Cổ phần Xuất nhập khẩu > Công ty Tài chính Quốc tế (""IFC"")","Công ty Tài chính Quốc tế (""IFC"")",57.155.477,571.555,"10,00",57.155.477,571.555,"10,00",57155477.0,571555.0,10.0,57155477.0,571555.0,10.0
Các cổ đông khác,Công ty Cổ phần Xuất nhập khẩu > Các cổ đông khác,Các cổ đông khác,325.668.444,3.256.685,"57,01",325.668.444,3.256.685,"57,01",325668444.0,3256685.0,57.01,325668444.0,3256685.0,57.01
,,,571.311.355,5.713.114,"100,00",571.311.355,5.713.114,"100,00",571311355.0,5713114.0,100.0,571311355.0,5713114.0,100.0
