row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,Tài sản tại ngày 31 tháng 12 năm 2020,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2020 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,24.449.075,3.918.386,28.367.461,24449075.0,3918386.0,28367461.0
Chứng khoán kinh doanh - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,2.001.459,-,2.001.459,2001459.0,,2001459.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,63.292.633,518,63.293.151,63292633.0,518.0,63293151.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,153.234,-,153.234,153234.0,,153234.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2020 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,16.974.097,-,16.974.097,16974097.0,,16974097.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2020 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",442.978,-,442.978,442978.0,,442978.0
Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020,,,
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,24.659.120,1.843.581,26.502.701,24659120.0,1843581.0,26502701.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2020 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,71.847.725,674.395,72.522.120,71847725.0,674395.0,72522120.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2020 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),66.262.754,-,66.262.754,66262754.0,,66262754.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2020 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",167.949,769.803,937.752,167949.0,769803.0,937752.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2020 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,5.605.930,-,5.605.930,5605930.0,,5605930.0
Cam kết ngoại bảng tạingày 31 tháng 12 năm 2020,Công nợ tại ngày 31 tháng 12 năm 2020 > Cam kết ngoại bảng tạingày 31 tháng 12 năm 2020,Cam kết ngoại bảng tạingày 31 tháng 12 năm 2020,161.938.881,-,161.938.881,161938881.0,,161938881.0
