row_label_raw,row_label_full,col_0,Dự phòngcụ thểTriệu đồng,Dự phòngchungTriệu đồng,Tổng độngTriệu đồng,numeric__Dự phòngcụ thểTriệu đồng,numeric__Dự phòngchungTriệu đồng,numeric__Tổng độngTriệu đồng
Số đầu năm,Số đầu năm,Số đầu năm,-,2.185,2.185,,2185.0,2185.0
Số hoàn nhập trong năm,Số hoàn nhập trong năm,Số hoàn nhập trong năm,-,(707),(707),,-707.0,-707.0
Số cuối năm,Số cuối năm,Số cuối năm,-,1.478,1.478,,1478.0,1478.0
