row_label_raw,row_label_full,col_0,Quả hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 1 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quả hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 1 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,579.345,-,-,-,-,-,-,579.345,,579345.0,,,,,,,579345.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,996.258,-,-,-,-,-,996.258,,,996258.0,,,,,,996258.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,25.323.843,3.043.618,-,-,-,-,28.367.461,,,25323843.0,3043618.0,,,,,28367461.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,2.001.459,-,-,-,-,-,-,2.001.459,,2001459.0,,,,,,,2001459.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.362.106,-,-,60.931.045,-,-,-,-,63.293.151,2362106.0,,,60931045.0,,,,,63293151.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,153.234,-,-,-,-,153.234,,,,153234.0,,,,,153234.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,1.514.494,-,7.000,2.122.456,1.720.512,5.471.361,6.138.274,16.974.097,,1514494.0,,7000.0,2122456.0,1720512.0,5471361.0,6138274.0,16974097.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,442.978,-,-,-,-,-,-,442.978,,442978.0,,,,,,,442978.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,955.727,-,-,-,-,-,-,955.727,,955727.0,,,,,,,955727.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,194.021,3.486.255,-,-,-,-,-,-,3.680.276,194021.0,3486255.0,,,,,,,3680276.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.556.127,8.980.258,26.320.101,64.134.897,2.122.456,1.720.512,5.471.361,6.138.274,117.443.986,2556127.0,8980258.0,26320101.0,64134897.0,2122456.0,1720512.0,5471361.0,6138274.0,117443986.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,21.810.277,2.868.614,6.641,6.937,1.798.998,11.234,26.502.701,,,21810277.0,2868614.0,6641.0,6937.0,1798998.0,11234.0,26502701.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,26.410.876,16.501.775,13.143.595,14.885.293,1.568.043,12.538,72.522.120,,,26410876.0,16501775.0,13143595.0,14885293.0,1568043.0,12538.0,72522120.0
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,74.781,-,-,-,-,-,-,74.781,,74781.0,,,,,,,74781.0
"Vốn tài trợ, uy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, uy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,314,550,2.297,6.539,901.419,26.633,937.752,,,314.0,550.0,2297.0,6539.0,901419.0,26633.0,937752.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,5.200.000,-,5.930,400.000,5.605.930,,,,,5200000.0,,5930.0,400000.0,5605930.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,1.813.315,-,-,-,-,-,-,1.813.315,,1813315.0,,,,,,,1813315.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,1.888.096,48.221.467,19.370.939,18.352.533,14.898.769,4.274.390,450.405,107.456.599,,1888096.0,48221467.0,19370939.0,18352533.0,14898769.0,4274390.0,450405.0,107456599.0
Mức chênh nhạy cảm với lãi suấtnội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bảng,Mức chênh nhạy cảm với lãi suấtnội bảng,2.556.127,7.092.162,(21.901.366),44.763.958,(16.230.077),(13.178.257),1.196.971,5.687.869,9.987.387,2556127.0,7092162.0,-21901366.0,44763958.0,-16230077.0,-13178257.0,1196971.0,5687869.0,9987387.0
