row_label_raw,row_label_full,col_0,Dự phòngcu thểTriệu đồng,Dự phòngchungTriệu đồng,Tổng độngTriệu đồng,numeric__Dự phòngcu thểTriệu đồng,numeric__Dự phòngchungTriệu đồng,numeric__Tổng độngTriệu đồng
Số đầu năm,Số đầu năm,Số đầu năm,-,1.478,1.478,,1478.0,1478.0
Số hoàn nhập trong năm,Số hoàn nhập trong năm,Số hoàn nhập trong năm,-,(329),(329),,-329.0,-329.0
Số cuối năm,Số cuối năm,Số cuối năm,-,1.149,1.149,,1149.0,1149.0
