row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND Đã điều chỉnh lại
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,25.923.320.952.118,23.092.271.891.081,400.0,,25923320952118.0,23092271891081.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,21,25.923.320.952.118,23.092.271.891.081,410.0,21.0,25923320952118.0,23092271891081.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,22,12.938.780.810.000,12.938.780.810.000,411.0,22.0,12938780810000.0,12938780810000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,12.938.780.810.000,12.938.780.810.000,,,12938780810000.0,12938780810000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,3.925.554.119.365,2.246.997.553.623,412.0,,3925554119365.0,2246997553623.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,1.098.901.628.522,1.093.793.763.574,414.0,,1098901628522.0,1093793763574.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,22,(1.030.648.460.000),(1.350.648.460.000),415.0,22.0,-1030648460000.0,-1350648460000.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,21,(1.294.725.514.734),(1.294.725.514.734),416.0,21.0,-1294725514734.0,-1294725514734.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,12.208.664.629,12.242.160.703,417.0,,12208664629.0,12242160703.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,1.191.340.602.264,971.137.171.719,418.0,,1191340602264.0,971137171719.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,23,1.342.885.880.538,1.337.042.365.416,420.0,23.0,1342885880538.0,1337042365416.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,4.851.950.503.696,4.390.059.643.735,421.0,,4851950503696.0,4390059643735.0
- LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,694.171.768.250,-,,,694171768250.0,
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,4.157.778.735.446,4.390.059.643.735,,,4157778735446.0,4390059643735.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,2.887.072.717.838,2.747.592.397.045,429.0,,2887072717838.0,2747592397045.0
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,61.762.413.837.959,56.283.120.293.669,440.0,,61762413837959.0,56283120293669.0
