row_label_raw,row_label_full,Thuế giá trị gia tăng đầu ra (*) > Thuế giá trị gia tăng hàng nhập khẩu,1/1/2019VNDĐã điều chỉnh lại > (193.607.480.358) > 35.192.125.789,Số phát sinh trong năm VND > (4.459.267.234.721) > (5.087.397.021.371),Số đã nộp/được hoàn trả trong năm VND > 4.398.839.906.226 > 5.067.249.522.908,31/12/2019VND > (254.034.808.853) > 15.044.627.326,numeric__1/1/2019VNDĐã điều chỉnh lại > (193.607.480.358) > 35.192.125.789,numeric__Số phát sinh trong năm VND > (4.459.267.234.721) > (5.087.397.021.371),numeric__Số đã nộp/được hoàn trả trong năm VND > 4.398.839.906.226 > 5.067.249.522.908,numeric__31/12/2019VND > (254.034.808.853) > 15.044.627.326
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,404.013.013.685,(1.906.582.453.917),2.215.743.183.105,713.173.742.873,404013013685.0,-1906582453917.0,2215743183105.0,713173742873.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,725.053.654.677,(2.112.366.044.579),1.862.406.389.280,475.093.999.378,725053654677.0,-2112366044579.0,1862406389280.0,475093999378.0
Thuế thu nhập doanh nghiệp (**),Thuế thu nhập doanh nghiệp (**),Thuế thu nhập doanh nghiệp (**),(233.993.430.520),(996.924.043.108),948.989.300.457,(281.928.173.171),-233993430520.0,-996924043108.0,948989300457.0,-281928173171.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(17.163.782.720),(104.879.028.460),102.738.210.084,(19.304.601.096),-17163782720.0,-104879028460.0,102738210084.0,-19304601096.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,(27.838.086.242),(237.549.411.907),278.070.808.234,12.683.310.085,-27838086242.0,-237549411907.0,278070808234.0,12683310085.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,(1.267.606.154.203),(29.801.100.003.373),28.790.874.492.141,(2.277.831.665.435),-1267606154203.0,-29801100003373.0,28790874492141.0,-2277831665435.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,72.583.493,(304.667.738.224),294.586.191.018,(10.008.963.713),72583493.0,-304667738224.0,294586191018.0,-10008963713.0
,,,(575.877.556.399),(45.010.732.979.660),43.959.498.003.453,(1.627.112.532.606),-575877556399.0,-45010732979660.0,43959498003453.0,-1627112532606.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Thuế và các khoản phải thu Nhà nước,Trong đó: > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,1.324.618.669.843,,,1.298.617.777.022,1324618669843.0,,,1298617777022.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(1.900.496.226.242),,,(2.925.730.309.628),-1900496226242.0,,,-2925730309628.0
,,,(575.877.556.399),,,(1.627.112.532.606),-575877556399.0,,,-1627112532606.0
