row_label_raw,row_label_full,Số dư đầu năm – đã điều chỉnh lại > Số dư đầu năm – theo báo cáo trước đây Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35) > Khẩu hao trong năm,6.395.907.350.641 > 6.398.110.649.999(2.203.299.358) > 652.890.842.838,2.576.453.886.078 > 2.576.518.150.719(64.264.641) > 328.082.015.610,8.053.709.346.847 > 8.053.978.738.750(269.391.903) > 815.001.714.984,418.608.447.309 > 418.671.382.873(62.935.564) > 81.279.051.947,14.465.926.312 > 14.489.468.348(23.542.036) > 2.569.896.003,17.459.144.957.187 > 17.461.768.390.689(2.623.433.502) > 1.879.823.521.382,numeric__6.395.907.350.641 > 6.398.110.649.999(2.203.299.358) > 652.890.842.838,numeric__2.576.453.886.078 > 2.576.518.150.719(64.264.641) > 328.082.015.610,numeric__8.053.709.346.847 > 8.053.978.738.750(269.391.903) > 815.001.714.984,numeric__418.608.447.309 > 418.671.382.873(62.935.564) > 81.279.051.947,numeric__14.465.926.312 > 14.489.468.348(23.542.036) > 2.569.896.003,numeric__17.459.144.957.187 > 17.461.768.390.689(2.623.433.502) > 1.879.823.521.382
Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(3.865.612.832),(839.168.572),-,-,(279.655.161),(4.984.436.565),-3865612832.0,-839168572.0,,,-279655161.0,-4984436565.0
Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,226.808.804,-,-,-,-,226.808.804,226808804.0,,,,,226808804.0
Thanh lý và xóa sổ,Thanh lý và xóa sổ,Thanh lý và xóa sổ,(67.184.793.412),(47.678.054.498),(56.982.386.048),(3.000.615.802),(12.000.000),(174.857.849.760),-67184793412.0,-47678054498.0,-56982386048.0,-3000615802.0,-12000000.0,-174857849760.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(13.213.294.639),(2.660.919.599),(578.987.780),(488.749.041),-,(16.941.951.059),-13213294639.0,-2660919599.0,-578987780.0,-488749041.0,,-16941951059.0
Phân loại lại,Phân loại lại,Phân loại lại,(22.617.354.746),21.454.024.494,36.621.677,(234.572.957),1.361.281.532,-,-22617354746.0,21454024494.0,36621677.0,-234572957.0,1361281532.0,
Biến động khác,Biến động khác,Biến động khác,(28.082.575.396),1.460.073.049,(307.294.076),196.416.422,71.533,(26.733.308.468),-28082575396.0,1460073049.0,-307294076.0,196416422.0,71533.0,-26733308468.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,6.914.061.371.258,2.876.271.856.562,8.810.879.015.604,496.359.977.878,18.105.520.219,19.115.677.741.521,6914061371258.0,2876271856562.0,8810879015604.0,496359977878.0,18105520219.0,19115677741521.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Giá trị còn lại > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,6.399.917.853.053,1.283.860.478.865,5.288.291.077.461,122.882.659.846,11.384.204.302,13.106.336.273.527,6399917853053.0,1283860478865.0,5288291077461.0,122882659846.0,11384204302.0,13106336273527.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.545.668.841.158,1.329.620.377.768,5.294.734.110.498,121.974.186.400,10.920.191.631,13.302.917.707.455,6545668841158.0,1329620377768.0,5294734110498.0,121974186400.0,10920191631.0,13302917707455.0
