row_label_raw,row_label_full,col_0,Mãsố,2019VND,2018VNDĐã điều chỉnh lại,numeric__Mãsố,numeric__2019VND,numeric__2018VNDĐã điều chỉnh lại
LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản,01,5.647.771.555.645,5.177.656.165.312,1.0,5647771555645.0,5177656165312.0
Khấu hao và phân bổ,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao và phân bổ,Khấu hao và phân bổ,02,2.030.469.201.225,2.068.564.629.989,2.0,2030469201225.0,2068564629989.0
Các khoản dự phòng,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,(542.626.170.089),744.284.561.083,3.0,-542626170089.0,744284561083.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,04,20.004.988.312,4.446.903.525,4.0,20004988312.0,4446903525.0
Lãi từ hoạt động đầu tư,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(1.423.527.343.639),(1.274.070.701.604),5.0,-1423527343639.0,-1274070701604.0
Chi phí lãi vay,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,791.223.776.592,865.487.977.236,6.0,791223776592.0,865487977236.0
Các khoản điều chỉnh khác (Biến động Quỹbình ổn giá xăng đầu – Thuyết minh 20),LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản điều chỉnh khác (Biến động Quỹbình ổn giá xăng đầu – Thuyết minh 20),Các khoản điều chỉnh khác (Biến động Quỹbình ổn giá xăng đầu – Thuyết minh 20),07,(501.374.908.564),(1.121.563.656.502),7.0,-501374908564.0,-1121563656502.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,6.021.941.099.482,6.464.805.879.039,8.0,6021941099482.0,6464805879039.0
Biến động các khoản phải thu,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu,Biến động các khoản phải thu,09,(877.437.265.592),(535.435.948.286),9.0,-877437265592.0,-535435948286.0
Biến động hàng tồn kho,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(942.201.514.686),1.591.550.716.931,10.0,-942201514686.0,1591550716931.0
Biến động các khoản phải trả vànợ phải trả khác,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả vànợ phải trả khác,Biến động các khoản phải trả vànợ phải trả khác,11,2.091.522.825.478,(882.100.684.374),11.0,2091522825478.0,-882100684374.0
Biến động chi phí trả trước,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,81.872.456.996,(44.030.968.455),12.0,81872456996.0,-44030968455.0
Biến động chứng khoán kinh doanh,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chứng khoán kinh doanh,Biến động chứng khoán kinh doanh,13,-,(2.906.257.914),13.0,,-2906257914.0
,,,,6.375.697.601.678,6.591.882.736.941,,6375697601678.0,6591882736941.0
Tiền lãi vay đã trả,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(779.986.039.267),(865.515.827.354),14.0,-779986039267.0,-865515827354.0
Thuế thu nhập doanh nghiệp đã nộp,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(948.989.300.457),(967.768.822.649),15.0,-948989300457.0,-967768822649.0
Tiền thu khác từ hoạt động kinh doanh,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,4.353.120.295,12.004.405.847,16.0,4353120295.0,12004405847.0
Tiền chi khác cho hoạt độngkinh doanh,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt độngkinh doanh,Tiền chi khác cho hoạt độngkinh doanh,17,(470.564.395.757),(399.315.206.370),17.0,-470564395757.0,-399315206370.0
Lưu chuyển tiền thuần từhoạt động kinh doanh,LUÙ CHUYÊN TIỀN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từhoạt động kinh doanh,Lưu chuyển tiền thuần từhoạt động kinh doanh,20,4.180.510.986.492,4.371.287.286.415,20.0,4180510986492.0,4371287286415.0
