row_label_raw,row_label_full,col_0,2018(theo báo cáotrước đây)VND,2018(điều chỉnh củaKiểm toán Nhà nước)VND,2018(đã điều chỉnh lại)VND,numeric__2018(theo báo cáotrước đây)VND,numeric__2018(điều chỉnh củaKiểm toán Nhà nước)VND,numeric__2018(đã điều chỉnh lại)VND
Lợi nhuận kế toántrước thuế,Lợi nhuận kế toántrước thuế,Lợi nhuận kế toántrước thuế,5.042.559.777.163,135.096.388.149,5.177.656.165.312,5042559777163.0,135096388149.0,5177656165312.0
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,2.072.134.909.956,(3.570.279.967),2.068.564.629.989,2072134909956.0,-3570279967.0,2068564629989.0
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,753.635.479.105,(9.350.918.022),744.284.561.083,753635479105.0,-9350918022.0,744284561083.0
Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mụctiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mụctiền tệ có gốc ngoại tệ,Lỗ chênh lệch tỷ giá hối đoáido đánh giá lại các khoản mụctiền tệ có gốc ngoại tệ,5.332.029.314,(885.125.789),4.446.903.525,5332029314.0,-885125789.0,4446903525.0
Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,(1.273.660.290.645),(410.410.959),(1.274.070.701.604),-1273660290645.0,-410410959.0,-1274070701604.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,864.678.771.880,809.205.356,865.487.977.236,864678771880.0,809205356.0,865487977236.0
Lợi nhuận từ hoạt động kinhdoanh trước những thay đốivốn lưu động,Lợi nhuận từ hoạt động kinhdoanh trước những thay đốivốn lưu động,Lợi nhuận từ hoạt động kinhdoanh trước những thay đốivốn lưu động,6.343.117.020.271,121.688.858.768,6.464.805.879.039,6343117020271.0,121688858768.0,6464805879039.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,(440.573.782.443),(94.862.165.843),(535.435.948.286),-440573782443.0,-94862165843.0,-535435948286.0
Biến động hàng tồn kho,Biến động hàng tồn kho,Biến động hàng tồn kho,1.592.558.581.222,(1.007.864.291),1.591.550.716.931,1592558581222.0,-1007864291.0,1591550716931.0
Biến động các khoản phảitrả và nợ phải trả khác,Biến động các khoản phảitrả và nợ phải trả khác,Biến động các khoản phảitrả và nợ phải trả khác,(867.709.740.677),(14.390.943.697),(882.100.684.374),-867709740677.0,-14390943697.0,-882100684374.0
Biến động chi phí trả trước,Biến động chi phí trả trước,Biến động chi phí trả trước,(36.933.925.094),(7.097.043.361),(44.030.968.455),-36933925094.0,-7097043361.0,-44030968455.0
Tiền chi khác cho hoạt độngkinh doanh,Tiền chi khác cho hoạt độngkinh doanh,Tiền chi khác cho hoạt độngkinh doanh,(394.984.364.794),(4.330.841.576),(399.315.206.370),-394984364794.0,-4330841576.0,-399315206370.0
