row_label_raw,row_label_full,col_0,2018(theo báo cáotrước đây)VND,2018(điều chỉnh củaKiểm toán Nhà nước)VND,2018(đã điều chỉnh lại)VND,numeric__2018(theo báo cáotrước đây)VND,numeric__2018(điều chỉnh củaKiểm toán Nhà nước)VND,numeric__2018(đã điều chỉnh lại)VND
Doanh thu bán hàng vàcung cấp dịch vụ,Doanh thu bán hàng vàcung cấp dịch vụ,Doanh thu bán hàng vàcung cấp dịch vụ,191.979.275.263.458,396.043.900,191.979.671.307.358,191979275263458.0,396043900.0,191979671307358.0
Giá vốn hàng bán vàcung cấp dịch vụ,Giá vốn hàng bán vàcung cấp dịch vụ,Giá vốn hàng bán vàcung cấp dịch vụ,178.041.353.481.913,(14.982.544.218),178.026.370.937.695,178041353481913.0,-14982544218.0,178026370937695.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,994.256.425.636,1.050.783.478,995.307.209.114,994256425636.0,1050783478.0,995307209114.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,1.508.034.550.907,405.301.795,1.508.439.852.702,1508034550907.0,405301795.0,1508439852702.0
"Phần lãi trong các côngty liên doanh, liên kết","Phần lãi trong các côngty liên doanh, liên kết","Phần lãi trong các côngty liên doanh, liên kết",635.383.483.159,1.266.607.155,636.650.090.314,635383483159.0,1266607155.0,636650090314.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,8.559.770.481.125,(16.194.303.491),8.543.576.177.634,8559770481125.0,-16194303491.0,8543576177634.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,575.093.420.463,(1.940.853.512),573.152.566.951,575093420463.0,-1940853512.0,573152566951.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,249.963.422.715,99.107.477.745,349.070.900.460,249963422715.0,99107477745.0,349070900460.0
Chi phí khác,Chi phí khác,Chi phí khác,84.869.525.199,(563.076.445),84.306.448.754,84869525199.0,-563076445.0,84306448754.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,983.535.549.148,10.895.063.096,994.430.612.244,983535549148.0,10895063096.0,994430612244.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,10.939.924.429,17.721.692.990,28.661.617.419,10939924429.0,17721692990.0,28661617419.0
Lợi nhuận sau thuế phân bổ cho cổ đôngCông ty mẹ,Lợi nhuận sau thuế phân bổ cho cổ đôngCông ty mẹ,Lợi nhuận sau thuế phân bổ cho cổ đôngCông ty mẹ,3.649.759.187.678,98.139.843.509,3.747.899.031.187,3649759187678.0,98139843509.0,3747899031187.0
Lợi nhuận sau thuế phân bổ cho cổ đông không kiểm soát,Lợi nhuận sau thuế phân bổ cho cổ đông không kiểm soát,Lợi nhuận sau thuế phân bổ cho cổ đông không kiểm soát,398.325.115.908,8.339.788.554,406.664.904.462,398325115908.0,8339788554.0,406664904462.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,2.766,93,2.859,2766.0,93.0,2859.0
