row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Bản quyềnphần mềmVND,Phần mềmmáy vi tínhVND,Tài sảncó định khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Bản quyềnphần mềmVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.092.832.929.026,20.022.170.400,517.409.896.072,22.783.920.044,2.653.048.915.542,2092832929026.0,20022170400.0,517409896072.0,22783920044.0,2653048915542.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,58.572.263.347,-,14.098.767.766,6.968.102.893,79.639.134.006,58572263347.0,,14098767766.0,6968102893.0,79639134006.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,66.157.445.569,-,6.976.611.550,-,73.134.057.119,66157445569.0,,6976611550.0,,73134057119.0
Chuyển sang bắt động sản đầu tư,Nguyên giá > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(2.055.209.689),-,-,-,(2.055.209.689),-2055209689.0,,,,-2055209689.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(12.830.452.294),-,-,-,(12.830.452.294),-12830452294.0,,,,-12830452294.0
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(4.443.010.586),(765.364.000),(876.664.200),-,(6.085.038.786),-4443010586.0,-765364000.0,-876664200.0,,-6085038786.0
Giảm do thanh lý công ty con,Nguyên giá > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(11.500.124.604),-,(580.000.000),-,(12.080.124.604),-11500124604.0,,-580000000.0,,-12080124604.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(1.046.909.225),-,(29.133.000),-,(1.076.042.225),-1046909225.0,,-29133000.0,,-1076042225.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.185.686.931.544,19.256.806.400,536.999.478.188,29.752.022.937,2.771.695.239.069,2185686931544.0,19256806400.0,536999478188.0,29752022937.0,2771695239069.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,171.494.117.481,14.536.066.060,421.250.276.187,12.648.433.075,619.928.892.803,171494117481.0,14536066060.0,421250276187.0,12648433075.0,619928892803.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,23.549.931.837,1.563.693.242,31.414.820.347,1.045.732.294,57.574.177.720,23549931837.0,1563693242.0,31414820347.0,1045732294.0,57574177720.0
Chuyển sang bắt động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bắt động sản đầu tư,Chuyển sang bắt động sản đầu tư,(534.824.982),-,-,-,(534.824.982),-534824982.0,,,,-534824982.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(2.240.904.650),-,-,-,(2.240.904.650),-2240904650.0,,,,-2240904650.0
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(858.731.685),(748.000.000),(876.664.200),-,(2.483.395.885),-858731685.0,-748000000.0,-876664200.0,,-2483395885.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(1.587.517.592),-,(580.000.000),-,(2.167.517.592),-1587517592.0,,-580000000.0,,-2167517592.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(1.039.638.695),(116.756.892),102.203.112,-,(1.054.192.475),-1039638695.0,-116756892.0,102203112.0,,-1054192475.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,188.782.431.714,15.235.002.410,451.310.635.446,13.694.165.369,669.022.234.939,188782431714.0,15235002410.0,451310635446.0,13694165369.0,669022234939.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.921.338.811.545,5.486.104.340,96.159.619.885,10.135.486.969,2.033.120.022.739,1921338811545.0,5486104340.0,96159619885.0,10135486969.0,2033120022739.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.996.904.499.830,4.021.803.990,85.688.842.742,16.057.857.568,2.102.673.004.130,1996904499830.0,4021803990.0,85688842742.0,16057857568.0,2102673004130.0
