row_label_raw,row_label_full,col_0,1/1/2019(theo báo cáotrước đây)VND,1/1/2019(điều chỉnh của Kiểmtoán Nhà nước)VND,1/1/2019(đã điều chỉnh lại)VND,numeric__1/1/2019(theo báo cáotrước đây)VND,numeric__1/1/2019(điều chỉnh của Kiểmtoán Nhà nước)VND,numeric__1/1/2019(đã điều chỉnh lại)VND
Phải thu ngắn hạncủa khách hàng,Phải thu ngắn hạncủa khách hàng,Phải thu ngắn hạncủa khách hàng,7.005.872.124.081,435.648.290,7.006.307.772.371,7005872124081.0,435648290.0,7006307772371.0
Trà trước cho người bánngắn hạn,Trà trước cho người bánngắn hạn,Trà trước cho người bánngắn hạn,345.207.153.297,352.010.885,345.559.164.182,345207153297.0,352010885.0,345559164182.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,517.264.599.588,94.138.125.186,611.402.724.774,517264599588.0,94138125186.0,611402724774.0
Dự phòng phải thu ngắn hạnkhó đời,Dự phòng phải thu ngắn hạnkhó đời,Dự phòng phải thu ngắn hạnkhó đời,(411.260.131.686),2.411.795.751,(408.848.335.935),-411260131686.0,2411795751.0,-408848335935.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,10.885.554.215.474,1.007.864.291,10.886.562.079.765,10885554215474.0,1007864291.0,10886562079765.0
Dự phòng giảm giáhàng tồn kho,Dự phòng giảm giáhàng tồn kho,Dự phòng giảm giáhàng tồn kho,(590.660.068.351),6.779.971.982,(583.880.096.369),-590660068351.0,6779971982.0,-583880096369.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,214.190.706.717,7.082.460.233,221.273.166.950,214190706717.0,7082460233.0,221273166950.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,328.040.723.919,(126.512.455),327.914.211.464,328040723919.0,-126512455.0,327914211464.0
Thuế và các khoản khác phảithu Nhà nước,Thuế và các khoản khác phảithu Nhà nước,Thuế và các khoản khác phảithu Nhà nước,1.324.555.775.906,62.893.937,1.324.618.669.843,1324555775906.0,62893937.0,1324618669843.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,13.088.046.588.593,18.289.684.934,13.106.336.273.527,13088046588593.0,18289684934.0,13106336273527.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,30.549.814.979.282,15.666.251.432,30.565.481.230.714,30549814979282.0,15666251432.0,30565481230714.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,(17.461.768.390.689),2.623.433.502,(17.459.144.957.187),-17461768390689.0,2623433502.0,-17459144957187.0
Chi phí xây dựng cơ bandở dang,Chi phí xây dựng cơ bandở dang,Chi phí xây dựng cơ bandở dang,875.013.410.257,(2.215.412.631),872.797.997.626,875013410257.0,-2215412631.0,872797997626.0
"Đầu tư vào các công ty liêndoanh, liên kết","Đầu tư vào các công ty liêndoanh, liên kết","Đầu tư vào các công ty liêndoanh, liên kết",2.937.427.661.822,1.266.607.155,2.938.694.268.977,2937427661822.0,1266607155.0,2938694268977.0
Dự phòng đầu tư tài chínhdài hạn,Dự phòng đầu tư tài chínhdài hạn,Dự phòng đầu tư tài chínhdài hạn,(125.833.700.369),159.150.289,(125.674.550.080),-125833700369.0,159150289.0,-125674550080.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,2.233.354.898.790,14.583.128,2.233.369.481.918,2233354898790.0,14583128.0,2233369481918.0
Tài sản thuế thu nhậphoãn lại,Tài sản thuế thu nhậphoãn lại,Tài sản thuế thu nhậphoãn lại,24.569.042.779,(17.721.692.990),6.847.349.789,24569042779.0,-17721692990.0,6847349789.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,12.489.789.725.099,(1.438.303.678),12.488.351.421.421,12489789725099.0,-1438303678.0,12488351421421.0
Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,Thuế và các khoản phải nộpNhà nước,1.886.187.361.415,14.308.864.827,1.900.496.226.242,1886187361415.0,14308864827.0,1900496226242.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,847.409.526.049,(492.121.276),846.917.404.773,847409526049.0,-492121276.0,846917404773.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,319.384.394.810,(4.480.677.952),314.903.716.858,319384394810.0,-4480677952.0,314903716858.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,235.593.345.411,381.409.309,235.974.754.720,235593345411.0,381409309.0,235974754720.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",316.868.629.672,(4.330.841.576),312.537.788.096,316868629672.0,-4330841576.0,312537788096.0
Lợi nhuận sau thuế chưaphân phối,Lợi nhuận sau thuế chưaphân phối,Lợi nhuận sau thuế chưaphân phối,4.290.620.538.148,99.439.105.587,4.390.059.643.735,4290620538148.0,99439105587.0,4390059643735.0
Lợi ích cổ đôngkhông kiểm soát,Lợi ích cổ đôngkhông kiểm soát,Lợi ích cổ đôngkhông kiểm soát,2.739.042.654.300,8.549.742.745,2.747.592.397.045,2739042654300.0,8549742745.0,2747592397045.0
