row_label_raw,row_label_full,col_0,2019VND,2018VNDĐã điều chỉnh lại,numeric__2019VND,numeric__2018VNDĐã điều chỉnh lại
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,5.647.771.555.645,5.177.656.165.312,5647771555645.0,5177656165312.0
Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,1.129.554.311.129,1.035.531.233.062,1129554311129.0,1035531233062.0
Ảnh hưởng của mức thuế suất khác áp dụngđối với các công ty con,Ảnh hưởng của mức thuế suất khác áp dụngđối với các công ty con,Ảnh hưởng của mức thuế suất khác áp dụngđối với các công ty con,(21.313.666.371),(10.863.407.724),-21313666371.0,-10863407724.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,15.041.048.463,21.488.851.280,15041048463.0,21488851280.0
Tài sản thuế thu nhập hoãn lại không được ghi nhận,Tài sản thuế thu nhập hoãn lại không được ghi nhận,Tài sản thuế thu nhập hoãn lại không được ghi nhận,7.419.647.201,67.524.461.447,7419647201.0,67524461447.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(132.112.115.321),(129.129.034.026),-132112115321.0,-129129034026.0
Biến động chênh lệch tạm thời được khấu trừ chưađược ghi nhận năm trước,Biến động chênh lệch tạm thời được khấu trừ chưađược ghi nhận năm trước,Biến động chênh lệch tạm thời được khấu trừ chưađược ghi nhận năm trước,(13.978.183.486),39.435.251.372,-13978183486.0,39435251372.0
Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,Dự phòng thiếu trong những năm trước,(837.427.132),16.570.797.652,-837427132.0,16570797652.0
Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhậntài sản thuế thu nhập hoãn lại,Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhậntài sản thuế thu nhập hoãn lại,Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhậntài sản thuế thu nhập hoãn lại,(7.632.791.089),(17.465.923.400),-7632791089.0,-17465923400.0
Ưu đãi thuế,Ưu đãi thuế,Ưu đãi thuế,(7.093.465.200),-,-7093465200.0,
Biến động khác,Biến động khác,Biến động khác,2.162.438.529,-,2162438529.0,
,,,971.209.796.723,1.023.092.229.663,971209796723.0,1023092229663.0
