row_label_raw,row_label_full,col_0,Võ bình gas VND,Lợi thế kinh doanh liên quan đến cổ phần hóa VND,Tiền thuê đất VND,Chi phí sửa chữa lớn tài sản VND,Công cụ và dụng cụ VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Võ bình gas VND,numeric__Lợi thế kinh doanh liên quan đến cổ phần hóa VND,numeric__Tiền thuê đất VND,numeric__Chi phí sửa chữa lớn tài sản VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,270.048.978.590,162.642.101.757,1.105.965.666.292,157.060.524.193,89.837.316.641,447.814.894.445,2.233.369.481.918,270048978590.0,162642101757.0,1105965666292.0,157060524193.0,89837316641.0,447814894445.0,2233369481918.0
Số dư đầu năm – theo báo cáo trước đây Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),Số dư đầu năm – theo báo cáo trước đây Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),Số dư đầu năm – theo báo cáo trước đây Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),269.878.712.415,162.642.101.757,1.105.965.666.292,163.957.928.510,89.837.316.641,441.073.173.175,2.233.354.898.790,269878712415.0,162642101757.0,1105965666292.0,163957928510.0,89837316641.0,441073173175.0,2233354898790.0
Số dư đầu năm – theo báo cáo trước đây Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),Số dư đầu năm – theo báo cáo trước đây Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),Số dư đầu năm – theo báo cáo trước đây Điều chỉnh theo báo cáo của Kiểm toán Nhà nước (Thuyết minh 35),170.266.175,-,-,(6.897.404.317),-,6.741.721.270,14.583.128,170266175.0,,,-6897404317.0,,6741721270.0,14583128.0
Tăng trong năm Chuyển sang tài sản cố định hữu hình,Tăng trong năm Chuyển sang tài sản cố định hữu hình,Tăng trong năm Chuyển sang tài sản cố định hữu hình,25.945.444.830,-,197.718.600.964,125.834.218.928,85.837.199.829,180.395.563.245,615.731.027.796,25945444830.0,,197718600964.0,125834218928.0,85837199829.0,180395563245.0,615731027796.0
Tăng trong năm Chuyển sang tài sản cố định hữu hình,Tăng trong năm Chuyển sang tài sản cố định hữu hình,Tăng trong năm Chuyển sang tài sản cố định hữu hình,-,-,-,(954.581.002),(122.000.000),-,(1.076.581.002),,,,-954581002.0,-122000000.0,,-1076581002.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,10.589.547.644,-,-,-,10.589.547.644,,,10589547644.0,,,,10589547644.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,-,103.979.049.313,46.370.242.178,4.243.657.459,26.438.966.665,181.031.915.615,,,103979049313.0,46370242178.0,4243657459.0,26438966665.0,181031915615.0
Thanh lý và xóa số,Thanh lý và xóa số,Thanh lý và xóa số,(313.871.678),-,(254.384.229),(2.528.070.012),(524.247.328),(1.841.296.048),(5.461.869.295),-313871678.0,,-254384229.0,-2528070012.0,-524247328.0,-1841296048.0,-5461869295.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(61.739.117.854),(54.214.033.920),(83.929.253.340),(144.320.577.809),(84.834.409.368),(143.515.142.627),(572.552.534.918),-61739117854.0,-54214033920.0,-83929253340.0,-144320577809.0,-84834409368.0,-143515142627.0,-572552534918.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,62.318.419.988,178.206.207,5.768.459.420,(68.265.085.615),-,,,62318419988.0,178206207.0,5768459420.0,-68265085615.0,
Biến động khác,Biến động khác,Biến động khác,-,-,(1.106.379.688),(611.461.414),3.307.478.010,(3.003.723.949),(1.414.087.041),,,-1106379688.0,-611461414.0,3307478010.0,-3003723949.0,-1414087041.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,233.941.433.888,108.428.067.837,1.395.281.266.944,181.028.501.269,103.513.454.663,438.024.176.116,2.460.216.900.717,233941433888.0,108428067837.0,1395281266944.0,181028501269.0,103513454663.0,438024176116.0,2460216900717.0
