row_label_raw,row_label_full,col_0,1/1/2019Giá trị ghi số và sốcó khả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,Biến động trong năm > Phân loại lạiVND,Chênh lệchtỷ giáVND,31/12/2019Giá trị ghi số và sốcó khả năng trả nợVND,numeric__1/1/2019Giá trị ghi số và sốcó khả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__Biến động trong năm > Phân loại lạiVND,numeric__Chênh lệchtỷ giáVND,numeric__31/12/2019Giá trị ghi số và sốcó khả năng trả nợVND
Vay ngắn hạn (i),Vay ngắn hạn (i),Vay ngắn hạn (i),12.184.599.870.581,68.880.835.292.846,(67.453.164.067.719),-,(1.725.503.113),13.610.545.592.595,12184599870581.0,68880835292846.0,-67453164067719.0,,-1725503113.0,13610545592595.0
Vay dài hạnđến hạn trả (b),Vay dài hạnđến hạn trả (b),Vay dài hạnđến hạn trả (b),1.172.882.067.645,-,(1.136.020.245.016),306.038.957.744,(142.538.781),342.758.241.592,1172882067645.0,,-1136020245016.0,306038957744.0,-142538781.0,342758241592.0
,,,13.357.481.938.226,68.880.835.292.846,(68.589.184.312.735),306.038.957.744,(1.868.041.894),13.953.303.834.187,13357481938226.0,68880835292846.0,-68589184312735.0,306038957744.0,-1868041894.0,13953303834187.0
