row_label_raw,row_label_full,"Tiền thu từ nhận góp vốn của chủ sở hữu,chuyển nhượng cổ phiếu quỹ",31,2.016.749.365.742,-,numeric__31,numeric__2.016.749.365.742,numeric__-
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,69.300.966.222.627,99.067.573.679.267,33.0,69300966222627.0,99067573679267.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(68.608.569.594.605),(100.388.168.061.012),34.0,-68608569594605.0,-100388168061012.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,(3.370.968.637.702),(3.688.530.405.684),36.0,-3370968637702.0,-3688530405684.0
Lưu chuyển tiền thuần từhoạt động tài chính,Lưu chuyển tiền thuần từhoạt động tài chính,Lưu chuyển tiền thuần từhoạt động tài chính,40,(661.822.643.938),(5.009.124.787.429),40.0,-661822643938.0,-5009124787429.0
