row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2019 VND,2018 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__2019 VND,numeric__2018 VND Đã điều chỉnh lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,189.656.389.732.451,191.979.671.307.358,1.0,,189656389732451.0,191979671307358.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,52.864.325.572,47.197.358.198,2.0,,52864325572.0,47197358198.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,4,189.603.525.406.879,191.932.473.949.160,10.0,4.0,189603525406879.0,191932473949160.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,11,4,175.434.116.763.035,178.026.370.937.695,11.0,4.0,175434116763035.0,178026370937695.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,14.169.408.643.844,13.906.103.011.465,20.0,,14169408643844.0,13906103011465.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,26,1.004.290.830.755,995.307.209.114,21.0,26.0,1004290830755.0,995307209114.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,27,966.448.473.825,1.508.439.852.702,22.0,27.0,966448473825.0,1508439852702.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,791.223.776.592,865.487.977.236,23.0,,791223776592.0,865487977236.0
"Phần lãi trong các công ty liên doanh, liên kết","Phần lãi trong các công ty liên doanh, liên kết","Phần lãi trong các công ty liên doanh, liên kết",24,28,646.119.755.477,636.650.090.314,24.0,28.0,646119755477.0,636650090314.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,29,8.702.295.255.390,8.543.576.177.634,25.0,29.0,8702295255390.0,8543576177634.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,,639.668.300.698,573.152.566.951,26.0,,639668300698.0,573152566951.0
Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,5.511.407.200.163,4.912.891.713.606,30.0,,5511407200163.0,4912891713606.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,201.623.852.721,349.070.900.460,31.0,,201623852721.0,349070900460.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,65.259.497.239,84.306.448.754,32.0,,65259497239.0,84306448754.0
Kết quả từ hoạt động khác(40 = 31 - 32),Kết quả từ hoạt động khác(40 = 31 - 32),Kết quả từ hoạt động khác(40 = 31 - 32),40,,136.364.355.482,264.764.451.706,40.0,,136364355482.0,264764451706.0
Lợi nhuận kế toán trước thuế(50 = 30 + 40),Lợi nhuận kế toán trước thuế(50 = 30 + 40),Lợi nhuận kế toán trước thuế(50 = 30 + 40),50,,5.647.771.555.645,5.177.656.165.312,50.0,,5647771555645.0,5177656165312.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,31,996.924.043.108,994.430.612.244,51.0,31.0,996924043108.0,994430612244.0
(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,(Lợi ích)/chi phí thuế TNDN hoãn lại,52,31,(25.714.246.385),28.661.617.419,52.0,31.0,-25714246385.0,28661617419.0
Lợi nhuận sau thuế TNDN(60 = 50 - 51 - 52)(chuyển sang trang sau),Lợi nhuận sau thuế TNDN(60 = 50 - 51 - 52)(chuyển sang trang sau),Lợi nhuận sau thuế TNDN(60 = 50 - 51 - 52)(chuyển sang trang sau),60,,4.676.561.758.922,4.154.563.935.649,60.0,,4676561758922.0,4154563935649.0
