row_label_raw,row_label_full,col_0,Kinh doanh xăng dầu,Kinh doanh xăng dầu_1,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Kinh doanh xăng dầu,numeric__Kinh doanh xăng dầu_1,numeric__Khối kinh doanh các sản phẩm hóa dầu,numeric__Khối kinh doanh các sản phẩm gas,numeric__Khối kinh doanh dịch vụ vận tải,"numeric__Khối kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Khối xăng dầu thành viên,Các công ty con không thuộc khởi xăng dầu thành viên,Khối kinh doanh các sản phẩm hóa dầu,Khối kinh doanh các sản phẩm gas,Khối kinh doanh dịch vụ vận tải,"Khối kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,,,,,,,,
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
,,,,,,,,,,Đã điều chỉnh lại,,,,,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,144.370.241.278.283,60.595.804.340.889,6.434.374.309.707,3.261.119.630.508,8.918.147.225.689,2.496.779.272.041,(34.143.992.107.957),191.932.473.949.160,144370241278283.0,60595804340889.0,6434374309707.0,3261119630508.0,8918147225689.0,2496779272041.0,-34143992107957.0,191932473949160.0
Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,8.729.974.752.758,19.116.139.694.680,1.304.969.404.046,922.735.814.432,3.613.043.533.267,457.128.908.774,(34.143.992.107.957),-,8729974752758.0,19116139694680.0,1304969404046.0,922735814432.0,3613043533267.0,457128908774.0,-34143992107957.0,
Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,135.640.266.525.525,41.479.664.646.209,5.129.404.905.661,2.338.383.816.076,5.305.103.692.422,2.039.650.363.267,-,191.932.473.949.160,135640266525525.0,41479664646209.0,5129404905661.0,2338383816076.0,5305103692422.0,2039650363267.0,,191932473949160.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(141.524.523.272.124),(59.928.945.423.433),(6.147.233.446.413),(3.078.722.112.770),(8.547.554.508.435),(2.223.370.487.708),34.307.249.568.603,(187.143.099.682.280),-141524523272124.0,-59928945423433.0,-6147233446413.0,-3078722112770.0,-8547554508435.0,-2223370487708.0,34307249568603.0,-187143099682280.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(133.537.720.675.753),(58.927.409.891.873),(5.559.672.265.128),(2.628.983.234.825),(8.090.860.652.283),(2.055.004.525.030),32.773.280.307.197,(178.026.370.937.695),-133537720675753.0,-58927409891873.0,-5559672265128.0,-2628983234825.0,-8090860652283.0,-2055004525030.0,32773280307197.0,-178026370937695.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(7.986.802.596.371),(987.593.301.430),(491.712.217.641),(350.894.047.796),(158.606.243.070),(101.937.032.731),1.533.969.261.405,(8.543.576.177.634),-7986802596371.0,-987593301430.0,-491712217641.0,-350894047796.0,-158606243070.0,-101937032731.0,1533969261405.0,-8543576177634.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,-,(13.942.230.130),(95.848.963.644),(98.844.830.149),(298.087.613.082),(66.428.929.946),-,(573.152.566.951),,-13942230130.0,-95848963644.0,-98844830149.0,-298087613082.0,-66428929946.0,,-573152566951.0
