row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết biVND",Phương tiệnvân chuyểnVND,"Thiết bị,dung cụ quản lýVND",Tài sâncó đinh khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết biVND",numeric__Phương tiệnvân chuyểnVND,"numeric__Thiết bị,dung cụ quản lýVND",numeric__Tài sâncó đinh khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm – đã điều chỉnh lại,Nguyên giá > Số dư đầu năm – đã điều chỉnh lại,Số dư đầu năm – đã điều chỉnh lại,12.795.825.203.694,3.860.314.364.943,13.342.000.424.308,541.491.107.155,25.850.130.614,30.565.481.230.714,12795825203694.0,3860314364943.0,13342000424308.0,541491107155.0,25850130614.0,30565481230714.0
Số dư đầu năm –theo báo cáo trước đâyĐiều chỉnh theo báo cáo của Kiểmtoán Nhà nước (Thuyết minh 35),Nguyên giá > Số dư đầu năm –theo báo cáo trước đâyĐiều chỉnh theo báo cáo của Kiểmtoán Nhà nước (Thuyết minh 35),Số dư đầu năm –theo báo cáo trước đâyĐiều chỉnh theo báo cáo của Kiểmtoán Nhà nước (Thuyết minh 35),12.782.744.781.800,3.858.051.262.676,13.341.677.697.036,541.491.107.156,25.850.130.614,30.549.814.979.282,12782744781800.0,3858051262676.0,13341677697036.0,541491107156.0,25850130614.0,30549814979282.0
Số dư đầu năm –theo báo cáo trước đâyĐiều chỉnh theo báo cáo của Kiểmtoán Nhà nước (Thuyết minh 35),Nguyên giá > Số dư đầu năm –theo báo cáo trước đâyĐiều chỉnh theo báo cáo của Kiểmtoán Nhà nước (Thuyết minh 35),Số dư đầu năm –theo báo cáo trước đâyĐiều chỉnh theo báo cáo của Kiểmtoán Nhà nước (Thuyết minh 35),13.080.421.894,2.263.102.267,322.727.272,(1),-,15.666.251.432,13080421894.0,2263102267.0,322727272.0,-1.0,,15666251432.0
Tăng trong nămChuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá > Tăng trong nămChuyển từ chi phí xây dựngcơ bản dở dang,Tăng trong nămChuyển từ chi phí xây dựngcơ bản dở dang,161.290.070.662,210.491.113.734,555.966.860.872,73.905.569.813,2.015.200.480,1.003.668.815.561,161290070662.0,210491113734.0,555966860872.0,73905569813.0,2015200480.0,1003668815561.0
Tăng trong nămChuyển từ chi phí xây dựngcơ bản dở dang,Nguyên giá > Tăng trong nămChuyển từ chi phí xây dựngcơ bản dở dang,Tăng trong nămChuyển từ chi phí xây dựngcơ bản dở dang,649.237.952.692,153.768.540.187,268.042.625.983,6.623.979.700,1.158.947.126,1.078.832.045.688,649237952692.0,153768540187.0,268042625983.0,6623979700.0,1158947126.0,1078832045688.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(4.461.042.012),(839.168.572),-,-,(279.655.161),(5.579.865.745),-4461042012.0,-839168572.0,,,-279655161.0,-5579865745.0
Chuyển từ chi phí trả trước dài hạn,Nguyên giá > Chuyển từ chi phí trả trước dài hạn,Chuyển từ chi phí trả trước dài hạn,1.181.389.806,122.000.000,-,-,-,1.303.389.806,1181389806.0,122000000.0,,,,1303389806.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(78.400.455.189),(48.281.307.390),(58.596.123.533),(2.816.244.580),(12.000.000),(188.106.130.692),-78400455189.0,-48281307390.0,-58596123533.0,-2816244580.0,-12000000.0,-188106130692.0
Giảm do thanh lý công ty con,Nguyên giá > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(31.942.558.329),(2.660.919.599),(578.987.780),(488.749.041),-,(35.671.214.749),-31942558329.0,-2660919599.0,-578987780.0,-488749041.0,,-35671214749.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(32.672.432.474),32.540.979.388,-,(185.326.265),316.779.351,-,-32672432474.0,32540979388.0,,-185326265.0,316779351.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(327.916.434),436.631.639,(1.221.673.748),(196.172.504),(23.690.560),(1.332.821.607),-327916434.0,436631639.0,-1221673748.0,-196172504.0,-23690560.0,-1332821607.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,13.459.730.212.416,4.205.892.234.330,14.105.613.126.102,618.334.164.278,29.025.711.850,32.418.595.448.976,13459730212416.0,4205892234330.0,14105613126102.0,618334164278.0,29025711850.0,32418595448976.0
