row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Nhà cửa VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Nhà cửa VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,55.141.685.517,211.195.613.793,266.337.299.310,55141685517.0,211195613793.0,266337299310.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,5.579.865.745,5.579.865.745,,5579865745.0,5579865745.0
Chuyển từ tài sản cố định vô hình,Nguyên giá > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,2.055.209.689,-,2.055.209.689,2055209689.0,,2055209689.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,635.170.403,635.170.403,,635170403.0,635170403.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.196.895.206,217.410.649.941,274.607.545.147,57196895206.0,217410649941.0,274607545147.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,30.871.585.556,39.321.174.268,70.192.759.824,30871585556.0,39321174268.0,70192759824.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,139.140.000,9.003.108.783,9.142.248.783,139140000.0,9003108783.0,9142248783.0
Chuyển từ tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,4.984.436.565,4.984.436.565,,4984436565.0,4984436565.0
Chuyển từ tài sản cố định vô hình,Giá trị hao mòn lũy kế > Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,534.824.982,-,534.824.982,534824982.0,,534824982.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,31.545.550.538,53.308.719.616,84.854.270.154,31545550538.0,53308719616.0,84854270154.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,24.270.099.961,171.874.439.525,196.144.539.486,24270099961.0,171874439525.0,196144539486.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,25.651.344.668,164.101.930.325,189.753.274.993,25651344668.0,164101930325.0,189753274993.0
