row_label_raw,row_label_full,col_0,2023Number of shares,2022Number of shares(Restated),numeric__2023Number of shares,numeric__2022Number of shares(Restated)
Ordinary shares issued at the beginning of the year,Ordinary shares issued at the beginning of the year,Ordinary shares issued at the beginning of the year,"641,281,186","641,281,186",,
Effect of bonus shares for the year ended31 December 2023,Effect of bonus shares for the year ended31 December 2023,Effect of bonus shares for the year ended31 December 2023,"641,281,186","641,281,186",,
Weighted average number of ordinary shares,Weighted average number of ordinary shares,Weighted average number of ordinary shares,"1,282,562,372","1,282,562,372",,
