row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2023VND,2022VND,,
"Chang Beer Co., Ltd. Payments on behalf of the Group","Chang Beer Co., Ltd. Payments on behalf of the Group","Chang Beer Co., Ltd. Payments on behalf of the Group","1,082,366,141","3,640,908,349",,
F&N Global Marketing Pte. Ltd. Income from sales support,F&N Global Marketing Pte. Ltd. Income from sales support,F&N Global Marketing Pte. Ltd. Income from sales support,"867,208,502","1,091,737,849",,
Fraser & Neave (Malaya) Sdn Bhd Purchases of merchandise goods,Fraser & Neave (Malaya) Sdn Bhd Purchases of merchandise goods,Fraser & Neave (Malaya) Sdn Bhd Purchases of merchandise goods,"337,788,216","1,065,935,109",,
"C.A.I Co., Ltd. Purchases of services","C.A.I Co., Ltd. Purchases of services","C.A.I Co., Ltd. Purchases of services","759,058,000","732,415,000",,
"Dhospaak Co., Ltd. Purchases of services","Dhospaak Co., Ltd. Purchases of services","Dhospaak Co., Ltd. Purchases of services","164,402,411","45,051,141",,
Board of Directors,Board of Directors,Board of Directors,,,,
"Salary, bonus and remunerationMr. Koh Poh Tiong – Chairman","Salary, bonus and remunerationMr. Koh Poh Tiong – Chairman","Salary, bonus and remunerationMr. Koh Poh Tiong – Chairman",-,-,,
Mr. Pramoad Phornprapha – Member,Mr. Pramoad Phornprapha – Member,Mr. Pramoad Phornprapha – Member,"676,000,000","676,000,000",,
Mr. Nguyen Tien Vy – Member,Mr. Nguyen Tien Vy – Member,Mr. Nguyen Tien Vy – Member,"988,000,000","988,000,000",,
Mr. Michael Chye Hin Fah – Member,Mr. Michael Chye Hin Fah – Member,Mr. Michael Chye Hin Fah – Member,"838,000,000","676,000,000",,
Ms. Tran Kim Nga – Member,Ms. Tran Kim Nga – Member,Ms. Tran Kim Nga – Member,"838,000,000","676,000,000",,
Mr. Le Thanh Tuan – Member,Mr. Le Thanh Tuan – Member,Mr. Le Thanh Tuan – Member,"838,000,000","676,000,000",,
Ms. Ngo Minh Chau – Member,Ms. Ngo Minh Chau – Member,Ms. Ngo Minh Chau – Member,"838,000,000","676,000,000",,
Board of Management,Board of Management,Board of Management,,,,
Salary and bonus,Salary and bonus,Salary and bonus,"31,119,357,392","32,099,546,562",,
Audit Committee,Audit Committee,Audit Committee,,,,
Remuneration,Remuneration,Remuneration,"1,014,000,000","1,014,000,000",,
