row_label_raw,row_label_full,col_0,Code,Note,31/12/2023VND,1/1/2023VND,numeric__Code,numeric__Note,numeric__31/12/2023VND,numeric__1/1/2023VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"26,553,405,591,714","26,860,224,573,663",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,6,"5,039,908,030,600","4,069,464,160,642",110.0,6.0,,
Cash,ASSETS > Cash,Cash,111,,"1,423,048,778,559","985,364,551,928",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"3,616,859,252,041","3,084,099,608,714",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"17,741,052,417,665","19,411,469,500,000",120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,7(a),"17,741,052,417,665","19,411,469,500,000",123.0,,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"1,229,401,278,553","897,692,694,315",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,8,"467,366,764,227","337,852,269,601",131.0,8.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"33,281,517,536","68,059,544,421",132.0,,,
Other short-term receivables,ASSETS > Other short-term receivables,Other short-term receivables,136,9(a),"1,024,557,397,376","787,397,107,956",136.0,,,
Allowance for doubtful short-term debts,ASSETS > Allowance for doubtful short-term debts,Allowance for doubtful short-term debts,137,10(a),"(295,804,400,586)","(295,616,227,663)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,11(a),"2,317,504,988,808","2,193,521,139,336",140.0,,,
Inventories,ASSETS > Inventories,Inventories,141,,"2,393,084,700,363","2,272,494,533,814",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(75,579,711,555)","(78,973,394,478)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"225,538,876,088","288,077,079,370",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,12(a),"172,231,752,858","181,976,694,088",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"39,069,181,550","83,098,195,190",152.0,,,
Taxes receivable from State Treasury,ASSETS > Taxes receivable from State Treasury,Taxes receivable from State Treasury,153,20(b),"14,237,941,680","23,002,190,092",153.0,,,
