row_label_raw,row_label_full,col_0,Code,Note,2023 VND,2022 VND,numeric__Code,numeric__Note,numeric__2023 VND,numeric__2022 VND
Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,Revenue from sales of goods and provision of services,01,31,"30,706,760,090,689","35,235,899,123,781",1.0,31.0,,
Revenue deductions,Revenue deductions,Revenue deductions,02,31,"245,392,808,474","256,815,129,946",2.0,31.0,,
Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),Net revenue (10 = 01 - 02),10,31,"30,461,367,282,215","34,979,083,993,835",10.0,31.0,,
Cost of goods sold and services provided,Cost of goods sold and services provided,Cost of goods sold and services provided,11,32,"21,370,004,777,980","24,208,377,066,751",11.0,32.0,,
Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),Gross profit (20 = 10 - 11),20,,"9,091,362,504,235","10,770,706,927,084",20.0,,,
Financial income,Financial income,Financial income,21,33,"1,432,568,520,354","1,090,560,762,647",21.0,33.0,,
Financial expenses,Financial expenses,Financial expenses,22,34,"73,433,682,681","81,993,117,030",22.0,34.0,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"50,214,725,919","45,517,297,000",23.0,,,
Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,Share of profits in associates and jointly controlled entities,24,7(c),"232,053,894,657","323,119,361,276",24.0,,,
Selling expenses,Selling expenses,Selling expenses,25,35,"4,479,227,839,581","4,532,068,273,139",25.0,35.0,,
General and administration expenses,General and administration expenses,General and administration expenses,26,36,"800,691,619,935","740,665,660,468",26.0,36.0,,
Net operating profit {30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit {30 = 20 + (21 - 22) + 24 - (25 + 26)},Net operating profit {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,"5,402,631,777,049","6,829,660,000,370",30.0,,,
Other income,Other income,Other income,31,,"17,484,692,469","20,990,166,318",31.0,,,
Other expenses,Other expenses,Other expenses,32,,"49,706,065,223","37,232,847,726",32.0,,,
Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),Results of other activities (40 = 31 - 32),40,,"(32,221,372,754)","(16,242,681,408)",40.0,,,
Accounting profit before tax (50 = 30 + 40),Accounting profit before tax (50 = 30 + 40),Accounting profit before tax (50 = 30 + 40),50,,"5,370,410,404,295","6,813,417,318,962",50.0,,,
Income tax expense – current,Income tax expense – current,Income tax expense – current,51,38,"1,099,082,811,973","1,323,982,218,726",51.0,38.0,,
Income tax expense/(benefit) – deferred,Income tax expense/(benefit) – deferred,Income tax expense/(benefit) – deferred,52,38,"16,274,596,613","(10,362,877,048)",52.0,38.0,,
Net profit after tax (60 = 50 - 51 - 52) (carried forward to next page),Net profit after tax (60 = 50 - 51 - 52) (carried forward to next page),Net profit after tax (60 = 50 - 51 - 52) (carried forward to next page),60,,"4,255,052,995,709","5,499,797,977,284",60.0,,,
