row_label_raw,row_label_full,col_0,Code,Note,2023VND,2022VND,numeric__Code,numeric__Note,numeric__2023VND,numeric__2022VND
Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),Net profit after tax (60 = 50 - 51 - 52)(brought forward from previous page),60,,"4,255,052,995,709","5,499,797,977,284",60.0,,,
Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,Attributable to:,,,,
Equity holders of the Company,Attributable to: > Equity holders of the Company,Equity holders of the Company,61,,"4,117,605,068,688","5,223,851,427,095",61.0,,,
Non-controlling interest,Attributable to: > Non-controlling interest,Non-controlling interest,62,,"137,447,927,021","275,946,550,189",62.0,,,
Earnings per share,Earnings per share,Earnings per share,,,,(Restated),,,,
Basic earnings per share,Earnings per share > Basic earnings per share,Basic earnings per share,70,39,"3,132","3,974",70.0,39.0,3.132,3.974
