row_label_raw,row_label_full,col_0,2023VND,2022VND,numeric__2023VND,numeric__2022VND
Accounting profit before tax,Accounting profit before tax,Accounting profit before tax,"5,370,410,404,295","6,813,417,318,962",,
Tax at the Company's tax rate,Tax at the Company's tax rate,Tax at the Company's tax rate,"1,074,082,080,859","1,362,683,463,792",,
Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,Effect of different tax rates in subsidiaries,"(6,126,525,328)","(15,744,373,190)",,
Tax incentives,Tax incentives,Tax incentives,"(2,278,033,847)","(10,322,653,997)",,
Tax exempt income,Tax exempt income,Tax exempt income,"(46,702,087,331)","(65,144,311,495)",,
Non-deductible expenses,Non-deductible expenses,Non-deductible expenses,"40,380,077,482","34,123,076,905",,
Changes in unrecognised deferred tax assets,Changes in unrecognised deferred tax assets,Changes in unrecognised deferred tax assets,"37,793,687,280","7,004,440,892",,
Under provision in prior years,Under provision in prior years,Under provision in prior years,"13,059,591,812","2,947,281,538",,
Others,Others,Others,"5,148,617,659","(1,927,582,767)",,
,,,"1,115,357,408,586","1,313,619,341,678",,
