row_label_raw,row_label_full,col_0,Buildings and structures VND,numeric__Buildings and structures VND
Cost,Cost,Cost,Cost,
Opening and closing balance,Opening and closing balance,Opening and closing balance,"173,582,726,065",
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,
Opening balance,Opening balance,Opening balance,"11,320,924,101",
Charge for the year,Charge for the year,Charge for the year,"5,230,553,541",
Closing balance,Closing balance,Closing balance,"16,551,477,642",
Net book value,Net book value,Net book value,Net book value,
Opening balance,Opening balance,Opening balance,"162,261,801,964",
Closing balance,Closing balance,Closing balance,"157,031,248,423",
