row_label_raw,row_label_full,col_0,1/1/2023VND,Net-offVND,Reclassified from taxes payableVND,31/12/2023VND,numeric__1/1/2023VND,numeric__Net-offVND,numeric__Reclassified from taxes payableVND,numeric__31/12/2023VND
Corporate income tax,Corporate income tax,Corporate income tax,"1,696,305,444","(1,537,857,641)","40,765,796","199,213,599",,,,
Personal income tax,Personal income tax,Personal income tax,"640,448,151","(453,562,640)","622,449,342","809,334,853",,,,
Import-export tax,Import-export tax,Import-export tax,"2,082,000",-,-,"2,082,000",,,,
Other taxes,Other taxes,Other taxes,"20,663,354,497","(8,399,087,947)","963,044,678","13,227,311,228",,,,
,,,"23,002,190,092","(10,390,508,228)","1,626,259,816","14,237,941,680",,,,
