row_label_raw,row_label_full,col_0,1/1/2023Carrying amount/Amount within repayment capacity VND,Movements during the year > Increase VND,Movements during the year > Decrease VND,31/12/2023Carrying amount/Amount within repayment capacity VND,numeric__1/1/2023Carrying amount/Amount within repayment capacity VND,numeric__Movements during the year > Increase VND,numeric__Movements during the year > Decrease VND,numeric__31/12/2023Carrying amount/Amount within repayment capacity VND
Short-term borrowings,Short-term borrowings,Short-term borrowings,"634,982,674,652","4,130,545,304,850","(4,236,627,979,502)","528,900,000,000",,,,
Current portion of long-term borrowings (Note 23(b)),Current portion of long-term borrowings (Note 23(b)),Current portion of long-term borrowings (Note 23(b)),"22,474,940,583","44,949,881,167","(67,424,821,750)",-,,,,
Current portion of long-term finance lease liabilities (Note 23(b)),Current portion of long-term finance lease liabilities (Note 23(b)),Current portion of long-term finance lease liabilities (Note 23(b)),"1,168,200,086","16,162,726,917","(16,101,530,820)","1,229,396,183",,,,
,,,"658,625,815,321","4,191,657,912,934","(4,320,154,332,072)","530,129,396,183",,,,
