row_label_raw,row_label_full,Tên công ty,31/12/2023 > Hạch toán theovốn chủ sở hữuVND,31/12/2023 > Giá trị hợp lýVND,31/12/2023 > Dự phòngVND,1/1/2023 > Hạch toán theovốn chủ sở hữuVND,1/1/2023 > Giá trị hợp lýVND,1/1/2023 > Dự phòngVND,numeric__31/12/2023 > Hạch toán theovốn chủ sở hữuVND,numeric__31/12/2023 > Giá trị hợp lýVND,numeric__31/12/2023 > Dự phòngVND,numeric__1/1/2023 > Hạch toán theovốn chủ sở hữuVND,numeric__1/1/2023 > Giá trị hợp lýVND,numeric__1/1/2023 > Dự phòngVND
Công ty Cổ phần Kinh doanh Lương thực - Thực phẩmTrường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩmTrường Sa,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩmTrường Sa,4.877.957.385,(*),(4.877.957.381),4.877.957.385,(*),(4.877.957.381),4877957385.0,,-4877957381.0,4877957385.0,,-4877957381.0
Công ty Cổ phần Tư vấn Đầu tư - Thiết kế vàChuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế vàChuyển giao Công nghệ Thành Nam,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế vàChuyển giao Công nghệ Thành Nam,329.653.546,(*),-,329.653.546,(*),-,329653546.0,,,329653546.0,,
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,67.293.680.882,46.363.600.800,-,68.198.352.285,71.094.240.000,-,67293680882.0,46363600800.0,,68198352285.0,71094240000.0,
Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,6.863.792.917,(*),-,6.863.792.917,(*),-,6863792917.0,,,6863792917.0,,
Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô,94.249.459.836,(*),-,97.657.207.690,(*),-,94249459836.0,,,97657207690.0,,
Công ty TNHH Trung Tâm Mé Linh,Công ty TNHH Trung Tâm Mé Linh,Công ty TNHH Trung Tâm Mé Linh,116.489.270.590,(*),-,115.508.698.730,(*),-,116489270590.0,,,115508698730.0,,
Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,Công ty Liên doanh TNHH Crown Sài Gòn,700.702.322.675,(*),-,583.115.732.032,(*),-,700702322675.0,,,583115732032.0,,
Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,Công ty TNHH Thủy tinh Malaya Việt Nam,316.511.068.418,(*),-,337.365.757.373,(*),-,316511068418.0,,,337365757373.0,,
Công ty TNHH Bao bi San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bi San Miguel Yamamura Phú Thọ,Công ty TNHH Bao bi San Miguel Yamamura Phú Thọ,67.001.146.482,(*),-,60.017.545.712,(*),-,67001146482.0,,,60017545712.0,,
Công ty TNHH Sản xuất Rượu và Côn Việt Nam,Công ty TNHH Sản xuất Rượu và Côn Việt Nam,Công ty TNHH Sản xuất Rượu và Côn Việt Nam,22.831.353.000,(*),-,37.827.987.750,(*),-,22831353000.0,,,37827987750.0,,
Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,412.814.261.765,335.588.389.429,-,445.504.575.352,(*),-,412814261765.0,335588389429.0,,445504575352.0,,
Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Công ty Cổ phần Bia Sài Gòn - Miền Trung,192.997.567.729,357.892.231.000,-,196.057.912.124,429.954.315.350,-,192997567729.0,357892231000.0,,196057912124.0,429954315350.0,
Công ty TNHH Đầu tư Thương mại Tân Thành,Công ty TNHH Đầu tư Thương mại Tân Thành,Công ty TNHH Đầu tư Thương mại Tân Thành,70.829.555.721,(*),(70.829.555.721),70.829.555.721,(*),(70.829.555.721),70829555721.0,,-70829555721.0,70829555721.0,,-70829555721.0
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,37.280.572.663,19.788.568.800,-,39.038.793.663,23.575.552.000,-,37280572663.0,19788568800.0,,39038793663.0,23575552000.0,
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,45.606.308.837,(*),-,50.022.757.187,(*),-,45606308837.0,,,50022757187.0,,
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,-,(*),-,288.988.004,(*),-,,,,288988004.0,,
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,47.812.472.419,(*),-,47.826.134.802,(*),-,47812472419.0,,,47826134802.0,,
Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,Công ty Cổ phần Bia Sài Gòn - Bến Tre,25.693.485.751,(*),-,26.498.553.192,(*),-,25693485751.0,,,26498553192.0,,
,,,2.230.183.930.616,,(75.707.513.102),2.187.829.955.465,,(75.707.513.102),2230183930616.0,,-75707513102.0,2187829955465.0,,-75707513102.0
