row_label_raw,row_label_full,col_0,Buildings and structures VND,Machinery and equipment VND,Motor vehicles VND,Office equipment VND,Others VND,Total VND,numeric__Buildings and structures VND,numeric__Machinery and equipment VND,numeric__Motor vehicles VND,numeric__Office equipment VND,numeric__Others VND,numeric__Total VND
Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,,,
Opening balance,Opening balance,Opening balance,"2,201,445,261,235","8,817,189,366,741","239,476,610,325","171,996,538,981","9,972,781,641","11,440,080,558,923",,,,,,
Additions,Additions,Additions,"2,456,953,522","26,049,931,976","1,308,181,818","4,492,046,746",-,"34,307,114,062",,,,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,"3,034,527,092","31,348,497,230","109,789,493","951,008,220",-,"35,443,822,035",,,,,,
Transfer from investment properties,Transfer from investment properties,Transfer from investment properties,"5,374,645,816",-,-,-,-,"5,374,645,816",,,,,,
Transfer to long-term prepaid expenses,Transfer to long-term prepaid expenses,Transfer to long-term prepaid expenses,"(2,280,037,663)","(863,477,273)",-,-,-,"(3,143,514,936)",,,,,,
Reclassification,Reclassification,Reclassification,-,"(406,808,331)",-,"406,808,331",-,-,,,,,,
Disposals,Disposals,Disposals,"(674,124,101)","(16,354,064,804)","(4,749,758,237)","(1,967,351,793)",-,"(23,745,298,935)",,,,,,
Closing balance,Closing balance,Closing balance,"2,209,357,225,901","8,856,963,445,539","236,144,823,399","175,879,050,485","9,972,781,641","11,488,317,326,965",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"1,271,919,935,121","6,433,084,220,444","207,897,643,646","149,543,012,413","8,654,114,064","8,071,098,925,688",,,,,,
Charge for the year,Charge for the year,Charge for the year,"93,835,138,089","431,288,782,706","10,426,975,293","10,045,533,227","471,741,096","546,068,170,411",,,,,,
Transfer from investment properties,Transfer from investment properties,Transfer from investment properties,"5,286,669,463",-,-,-,-,"5,286,669,463",,,,,,
Reclassification,Reclassification,Reclassification,-,"(16,852,808)",-,"16,852,808",-,-,,,,,,
Disposals,Disposals,Disposals,"(674,124,101)","(16,354,064,804)","(4,749,758,237)","(1,967,351,793)",-,"(23,745,298,935)",,,,,,
Closing balance,Closing balance,Closing balance,"1,370,367,618,572","6,848,002,085,538","213,574,860,702","157,638,046,655","9,125,855,160","8,598,708,466,627",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening balance,Opening balance,Opening balance,"929,525,326,114","2,384,105,146,297","31,578,966,679","22,453,526,568","1,318,667,577","3,368,981,633,235",,,,,,
Closing balance,Closing balance,Closing balance,"838,989,607,329","2,008,961,360,001","22,569,962,697","18,241,003,830","846,926,481","2,889,608,860,338",,,,,,
