row_label_raw,row_label_full,col_0,Code,Note,31/12/2023 VND,1/1/2023 VND,numeric__Code,numeric__Note,numeric__31/12/2023 VND,numeric__1/1/2023 VND
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"8,571,466,944,838","9,874,229,696,363",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"8,224,608,450,196","9,213,862,412,096",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,19(a),"2,476,372,806,838","2,766,280,031,591",311.0,,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,,"44,800,935,324","36,931,211,976",312.0,,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,20(a),"1,358,515,637,834","1,621,018,056,957",313.0,,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"235,426,444,878","190,033,628,709",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,21,"486,177,414,768","514,267,263,343",315.0,21.0,,
Unearned revenue – short-term,RESOURCES > Unearned revenue – short-term,Unearned revenue – short-term,318,,-,"229,844,154",318.0,,,
Other payables – short-term,RESOURCES > Other payables – short-term,Other payables – short-term,319,22(a),"2,898,696,098,647","3,204,086,244,845",319.0,,,
Short-term borrowings and finance lease liabilities,RESOURCES > Short-term borrowings and finance lease liabilities,Short-term borrowings and finance lease liabilities,320,23(a),"530,129,396,183","658,625,815,321",320.0,,,
Provisions – short-term,RESOURCES > Provisions – short-term,Provisions – short-term,321,,"119,220,000",-,321.0,,,
Bonus and welfare fund,RESOURCES > Bonus and welfare fund,Bonus and welfare fund,322,24,"194,370,495,724","222,390,315,200",322.0,24.0,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"346,858,494,642","660,367,284,267",330.0,,,
Long-term accounts payable to suppliers,RESOURCES > Long-term accounts payable to suppliers,Long-term accounts payable to suppliers,331,19(b),"100,000,000","120,060,956,800",331.0,,,
Other payables – long-term,RESOURCES > Other payables – long-term,Other payables – long-term,337,22(b),"55,725,069,062","55,421,713,745",337.0,,,
Long-term borrowings and finance lease liabilities,RESOURCES > Long-term borrowings and finance lease liabilities,Long-term borrowings and finance lease liabilities,338,23(b),"170,828,414,155","374,432,513,250",338.0,,,
Deferred tax liabilities,RESOURCES > Deferred tax liabilities,Deferred tax liabilities,341,18,"50,792,760,595","36,557,237,521",341.0,18.0,,
Provisions – long-term,RESOURCES > Provisions – long-term,Provisions – long-term,342,25,"69,412,250,830","73,894,862,951",342.0,25.0,,
