row_label_raw,row_label_full,col_0,Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê_1,Bất động sản đầu tư nằm giữ chở tăng giá,Bất động sản đầu tư nằm giữ chở tăng giá_1,numeric__Bất động sản đầu tư cho thuê,numeric__Bất động sản đầu tư cho thuê_1,numeric__Bất động sản đầu tư nằm giữ chở tăng giá,numeric__Bất động sản đầu tư nằm giữ chở tăng giá_1
,,,Quyền sử dụng đất VND,Nhà cửa và vật kiến trúc VND,Quyền sử dụng đất VND,Tổng VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,27.812.438.744,141.612.101.345,13.511.310.895,182.935.850.984,27812438744.0,141612101345.0,13511310895.0,182935850984.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,133.537.416.917,-,133.537.416.917,,133537416917.0,,133537416917.0
Chuyển sang tài sản cố định hữu hình,Nguyên giá > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(5.374.645.816),-,(5.374.645.816),,-5374645816.0,,-5374645816.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,27.812.438.744,269.774.872.446,13.511.310.895,311.098.622.085,27812438744.0,269774872446.0,13511310895.0,311098622085.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.720.129.042,16.935.823.014,3.150.911.918,29.806.863.974,9720129042.0,16935823014.0,3150911918.0,29806863974.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,606.038.092,6.907.637.402,-,7.513.675.494,606038092.0,6907637402.0,,7513675494.0
Chuyển sang tài sản cố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(5.286.669.463),-,(5.286.669.463),,-5286669463.0,,-5286669463.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.326.167.134,18.556.790.953,3.150.911.918,32.033.870.005,10326167134.0,18556790953.0,3150911918.0,32033870005.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.092.309.702,124.676.278.331,10.360.398.977,153.128.987.010,18092309702.0,124676278331.0,10360398977.0,153128987010.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,17.486.271.610,251.218.081.493,10.360.398.977,279.064.752.080,17486271610.0,251218081493.0,10360398977.0,279064752080.0
