row_label_raw,row_label_full,col_0,Tax rate,31/12/2023 VND,1/1/2023 VND,numeric__Tax rate,numeric__31/12/2023 VND,numeric__1/1/2023 VND
Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,Deferred tax assets recognised on:,,,
Accrued expenses and provisions,Deferred tax assets recognised on: > Accrued expenses and provisions,Accrued expenses and provisions,20%,"75,764,978,027","82,836,932,862",0.2,,
Allowance for diminution in the value of long-term financial investments,Deferred tax assets recognised on: > Allowance for diminution in the value of long-term financial investments,Allowance for diminution in the value of long-term financial investments,20%,"61,171,007,842","56,440,548,637",0.2,,
Unrealised profits,Deferred tax assets recognised on: > Unrealised profits,Unrealised profits,20%,"36,318,967,688","40,671,418,069",0.2,,
"Allowance for inventories and long-term tools, supplies and spare parts","Deferred tax assets recognised on: > Allowance for inventories and long-term tools, supplies and spare parts","Allowance for inventories and long-term tools, supplies and spare parts",20%,"25,404,880,205","24,150,582,076",0.2,,
Allowance for doubtful debts,Deferred tax assets recognised on: > Allowance for doubtful debts,Allowance for doubtful debts,20%,"68,345,726","1,672,286,338",0.2,,
Others,Deferred tax assets recognised on: > Others,Others,20%,"7,691,565,034","2,687,050,079",0.2,,
Total deferred tax assets,Total deferred tax assets,Total deferred tax assets,,"206,419,744,522","208,458,818,061",,,
Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,Deferred tax liabilities recognised on:,,,
Allowance for diminution in the value of long-term financial investments,Deferred tax liabilities recognised on: > Allowance for diminution in the value of long-term financial investments,Allowance for diminution in the value of long-term financial investments,20%,"49,057,251,548","34,353,293,866",0.2,,
Tools and instruments,Deferred tax liabilities recognised on: > Tools and instruments,Tools and instruments,20%,"1,735,509,047","2,203,943,655",0.2,,
Total deferred tax liabilities,Total deferred tax liabilities,Total deferred tax liabilities,,"50,792,760,595","36,557,237,521",,,
