row_label_raw,row_label_full,col_0,Investment propertyheld to earn rental,Investment propertyheld to earn rental_1,Investment propertyheld for capitalappreciation,Investment propertyheld for capitalappreciation_1,numeric__Investment propertyheld to earn rental,numeric__Investment propertyheld to earn rental_1,numeric__Investment propertyheld for capitalappreciation,numeric__Investment propertyheld for capitalappreciation_1
,,,Land userightsVND,Buildings andstructuresVND,Land userightsVND,TotalVND,,,,
Cost,Cost,Cost,Cost,Cost,Cost,Cost,,,,
Opening balance,Opening balance,Opening balance,"27,812,438,744","141,612,101,345","13,511,310,895","182,935,850,984",,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,-,"133,537,416,917",-,"133,537,416,917",,,,
Transfer to tangible fixed assets,Transfer to tangible fixed assets,Transfer to tangible fixed assets,-,"(5,374,645,816)",-,"(5,374,645,816)",,,,
Closing balance,Closing balance,Closing balance,"27,812,438,744","269,774,872,446","13,511,310,895","311,098,622,085",,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,
Opening balance,Opening balance,Opening balance,"9,720,129,042","16,935,823,014","3,150,911,918","29,806,863,974",,,,
Charge for the year,Charge for the year,Charge for the year,"606,038,092","6,907,637,402",-,"7,513,675,494",,,,
Transfer to tangible fixed assets,Transfer to tangible fixed assets,Transfer to tangible fixed assets,-,"(5,286,669,463)",-,"(5,286,669,463)",,,,
Closing balance,Closing balance,Closing balance,"10,326,167,134","18,556,790,953","3,150,911,918","32,033,870,005",,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,
Opening balance,Opening balance,Opening balance,"18,092,309,702","124,676,278,331","10,360,398,977","153,128,987,010",,,,
Closing balance,Closing balance,Closing balance,"17,486,271,610","251,218,081,493","10,360,398,977","279,064,752,080",,,,
