row_label_raw,row_label_full,STT,Tên công ty,Hoạt động chính,31/12/2023,31/12/2023_1,1/1/2023,1/1/2023_1,numeric__Tên công ty,numeric__Hoạt động chính,numeric__31/12/2023,numeric__31/12/2023_1,numeric__1/1/2023,numeric__1/1/2023_1
STT,STT,STT,Tên công ty,Hoạt động chính,% quyền sở hữu,% quyền biểu quyết,% quyền sở hữu,% quyền biểu quyết,,,,,,
II,II,II,Công ty liên kết,,,,,,,,,,,
1,II > 1,1,Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam (**),Cung cấp dịch vụ tư vấn xây dựng và thiết kế,"28,57%","28,57%","28,57%","28,57%",,,0.2857,0.2857,0.2857,0.2857
2,II > 2,2,Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,Sản xuất sản phẩm nông nghiệp và thực phẩm,"38,62%","38,98%","38,62%","38,98%",,,0.3862,0.3898,0.3862,0.3898
3,II > 3,3,Công ty Cổ phần Bia Sài Gòn - Phú Thọ,"Sản xuất và kinh doanh bia, rượu và nước giải khát","30,84%","33,85%","30,84%","33,85%",,,0.3084,0.3385,0.3084,0.3385
4,II > 4,4,Công ty Cổ phần Bia Sài Gòn - Miền Trung,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","32,40%","32,41%","32,40%","32,41%",,,0.324,0.32409999999999994,0.324,0.32409999999999994
5,II > 5,5,Công ty TNHH Đầu tư Thương mại Tân Thành,Xây dựng và kinh doanh bất động sản,"29,00%","29,00%","29,00%","29,00%",,,0.29,0.29,0.29,0.29
6,II > 6,6,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp (**),"Sản xuất, lắp đặt các sản phẩm máy móc cầu đường và xây dựng công nghiệp","26,00%","26,00%","26,00%","26,00%",,,0.26,0.26,0.26,0.26
7,II > 7,7,Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,"Sản xuất và kinh doanh bia, rượu và nước giải khát","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
8,II > 8,8,Công ty Cổ phần Bia Sài Gòn - Kiên Giang,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
9,II > 9,9,Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,"Sản xuất và kinh doanh bia, rượu, cồn, nước giải khát và phụ tùng thay thế","26,00%","26,00%","26,00%","26,00%",,,0.26,0.26,0.26,0.26
10,II > 10,10,Công ty Cổ phần Bia Sài Gòn - Bến Tre,"Sản xuất và kinh doanh bia, rượu và nước giải khát","20,00%","20,00%","20,00%","20,00%",,,0.2,0.2,0.2,0.2
11,II > 11,11,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây (**),"Sản xuất, gia công và kinh doanh thực phẩm, nước giải khát, bia và nước uống có cồn","21,80%","22,18%","21,80%","22,18%",,,0.218,0.2218,0.218,0.2218
12,II > 12,12,Công ty Cổ phần Bia - Nước Giải Khát Sài Gòn - Tây Đô (**),"Sản xuất và kinh doanh bia, rượu, nước giải khát, sữa đậu nành và nước ép trái cây","29,47%","34,92%","27,62%","34,92%",,,0.29469999999999996,0.3492,0.2762,0.3492
13,II > 13,13,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu (**),"Sản xuất và kinh doanh bia, rượu và nước giải khát","14,11%","20,00%","10,20%","20,00%",,,0.1411,0.2,0.102,0.2
