row_label_raw,row_label_full,col_0,Code,Note,31/12/2023 VND,1/1/2023 VND,numeric__Code,numeric__Note,numeric__31/12/2023 VND,numeric__1/1/2023 VND
EQUITY (400 = 410),EQUITY (400 = 410),EQUITY (400 = 410),400,,"25,485,157,894,867","24,590,845,919,393",400.0,,,
Owners' equity,Owners' equity,Owners' equity,410,26,"25,485,157,894,867","24,590,845,919,393",410.0,26.0,,
Share capital,Share capital,Share capital,411,27,"12,825,623,720,000","6,412,811,860,000",411.0,27.0,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"12,825,623,720,000","6,412,811,860,000",,,,
Other capital,- Ordinary shares with voting rights > Other capital,Other capital,414,,"3,208,666,226","3,208,666,226",414.0,,,
Foreign exchange differences,- Ordinary shares with voting rights > Foreign exchange differences,Foreign exchange differences,417,,"43,954,201,299","37,136,373,047",417.0,,,
Investment and development fund,- Ordinary shares with voting rights > Investment and development fund,Investment and development fund,418,28,"1,122,241,373,127","1,122,241,373,127",418.0,28.0,,
Retained profits,- Ordinary shares with voting rights > Retained profits,Retained profits,421,,"10,217,284,050,181","15,564,895,669,872",421.0,,,
- Retained profits brought forward,- Retained profits brought forward,- Retained profits brought forward,421a,,"6,222,786,077,389","10,484,212,358,663",,,,
- Retained profit for the current year,- Retained profit for the current year,- Retained profit for the current year,421b,,"3,994,497,972,792","5,080,683,311,209",,,,
Non-controlling interest,- Retained profit for the current year > Non-controlling interest,Non-controlling interest,429,,"1,272,845,884,034","1,450,551,977,121",429.0,,,
TOTAL RESOURCES(440 = 300 + 400),- Retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"34,056,624,839,705","34,465,075,615,756",440.0,,,
