row_label_raw,row_label_full,Company name,31/12/2023 > Equity accounted VND,31/12/2023 > Fair value VND,31/12/2023 > Allowance VND,1/1/2023 > Equity accounted VND,1/1/2023 > Fair value VND,1/1/2023 > Allowance VND,numeric__31/12/2023 > Equity accounted VND,numeric__31/12/2023 > Fair value VND,numeric__31/12/2023 > Allowance VND,numeric__1/1/2023 > Equity accounted VND,numeric__1/1/2023 > Fair value VND,numeric__1/1/2023 > Allowance VND
Truong Sa Food - Food Business Joint Stock Company,Truong Sa Food - Food Business Joint Stock Company,Truong Sa Food - Food Business Joint Stock Company,"4,877,957,385",(*),"(4,877,957,381)","4,877,957,385",(*),"(4,877,957,381)",,,,,,
Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,Thanh Nam Consultant Investment - Engineering and Technology Transfer Joint Stock Company,"329,653,546",(*),-,"329,653,546",(*),-,,,,,,
Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,Saigon - Phutho Beer Joint Stock Company,"67,293,680,882","46,363,600,800",-,"68,198,352,285","71,094,240,000",-,,,,,,
Mechanical and Industrial Construction Joint Stock Company,Mechanical and Industrial Construction Joint Stock Company,Mechanical and Industrial Construction Joint Stock Company,"6,863,792,917",(*),-,"6,863,792,917",(*),-,,,,,,
Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,"94,249,459,836",(*),-,"97,657,207,690",(*),-,,,,,,
Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,"116,489,270,590",(*),-,"115,508,698,730",(*),-,,,,,,
Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,"700,702,322,675",(*),-,"583,115,732,032",(*),-,,,,,,
Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,"316,511,068,418",(*),-,"337,365,757,373",(*),-,,,,,,
San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,"67,001,146,482",(*),,"60,017,545,712",(*),-,,,,,,
Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,Vietnam Spirits and Wine Ltd,"22,831,353,000",(*),-,"37,827,987,750",(*),-,,,,,,
Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,Saigon Binh Tay Beer Group Joint Stock Company,"412,814,261,765","335,588,389,429",-,"445,504,575,352",(*),-,,,,,,
Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,Sai Gon - Mien Trung Beer Joint Stock Company,"192,997,567,729","357,892,231,000",-,"196,057,912,124","429,954,315,350",-,,,,,,
Tan Thanh Investment Trading Company Limited,Tan Thanh Investment Trading Company Limited,Tan Thanh Investment Trading Company Limited,"70,829,555,721",(*),"(70,829,555,721)","70,829,555,721",(*),"(70,829,555,721)",,,,,,
Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,Saigon - Baclieu Beer Joint Stock Company,"37,280,572,663","19,788,568,800",-,"39,038,793,663","23,575,552,000",-,,,,,,
Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,Sai Gon - Vinh Long Beer Joint Stock Company,"45,606,308,837",(*),-,"50,022,757,187",(*),-,,,,,,
Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,Sai Gon - Kien Giang Beer Joint Stock Company,-,(*),-,"288,988,004",(*),-,,,,,,
Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,Sai Gon - Khanh Hoa Beer Joint Stock Company,"47,812,472,419",(*),-,"47,826,134,802",(*),-,,,,,,
Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,Saigon - Bentre Beer Joint Stock Company,"25,693,485,751",(*),-,"26,498,553,192",(*),-,,,,,,
,,,"2,230,183,930,616",,"(75,707,513,102)","2,187,829,955,465",,"(75,707,513,102)",,,,,,
