row_label_raw,row_label_full,col_0,2023VND,2022VND(Đã điều chỉnh lại),numeric__2023VND,numeric__2022VND(Đã điều chỉnh lại)
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,4.117.605.068.688,5.223.851.427.095,4117605068688.0,5223851427095.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",(100.704.276.928),(126.702.799.301),-100704276928.0,-126702799301.0
Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,Lợi nhuận thuần thuộc về cổ đông phổ thông,4.016.900.791.760,5.097.148.627.794,4016900791760.0,5097148627794.0
