row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2023VND,2022VND,,
Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,Saigon Tay Do Beer - Beverage Joint Stock Company,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"498,687,960","239,219,780",,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"214,729,785,873","288,114,957,233",,
Sales of tools and supplies,Sales of tools and supplies,Sales of tools and supplies,"284,019,468","217,235,000",,
Provision of services,Provision of services,Provision of services,"93,400,000","68,800,000",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"596,434,545,450","784,675,703,760",,
Purchases of raw materials,Purchases of raw materials,Purchases of raw materials,-,"195,398,652",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"2,871,946,875","75,936,000",,
Warehouse rental fee,Warehouse rental fee,Warehouse rental fee,"200,920,046",-,,
Dividends received,Dividends received,Dividends received,"6,983,307,000","10,474,960,500",,
Advertising and promotion expenses,Advertising and promotion expenses,Advertising and promotion expenses,"111,326,484",-,,
Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,Malaya - Vietnam Glass Limited,,
Sales of goods,Sales of goods,Sales of goods,"530,656,425",-,,
Provision of services,Provision of services,Provision of services,-,"50,000,000",,
Sales of scrap,Sales of scrap,Sales of scrap,"1,744,439,225","2,604,401,129",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"67,252,307,280","11,224,105,758",,
Dividends received,Dividends received,Dividends received,"64,200,000,000",-,,
Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,Me Linh Point Limited,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"34,374,535","52,173,330",,
Purchases of services,Purchases of services,Purchases of services,"8,039,704,613","6,366,069,000",,
Dividends received,Dividends received,Dividends received,"43,802,647,026","76,929,654,084",,
San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,San Miguel Yamamura Phu Tho Packaging Company Limited,,
Sales of finished goods,Sales of finished goods,Sales of finished goods,"16,546,000",-,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,-,"446,703,600",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"73,230,314,000","97,339,738,000",,
Dividends received,Dividends received,Dividends received,-,"7,344,805,800",,
Advertising and promotion expenses,Advertising and promotion expenses,Advertising and promotion expenses,"12,938,182","314,133,644",,
Other transactions,Other transactions,Other transactions,"31,185,234","14,940,000",,
Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,Crown Beverage Cans Saigon Limited,,
Sales of raw materials and other goods,Sales of raw materials and other goods,Sales of raw materials and other goods,-,"67,951,518",,
Provision of services,Provision of services,Provision of services,-,"766,032,852",,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"2,209,415,318,856","2,654,739,461,213",,
Other purchases,Other purchases,Other purchases,"3,209,834,287","9,249,359,585",,
Advertising and promotion expenses,Advertising and promotion expenses,Advertising and promotion expenses,"2,562,282,644",-,,
Other transactions,Other transactions,Other transactions,-,"23,222,000",,
