row_label_raw,row_label_full,Company name,31/12/2023 > Cost VND,31/12/2023 > Fair value VND,31/12/2023 > Allowance VND,1/1/2023 > Cost VND,1/1/2023 > Fair value VND,1/1/2023 > Allowance VND,numeric__31/12/2023 > Cost VND,numeric__31/12/2023 > Fair value VND,numeric__31/12/2023 > Allowance VND,numeric__1/1/2023 > Cost VND,numeric__1/1/2023 > Fair value VND,numeric__1/1/2023 > Allowance VND
Dong A Commercial Joint Stock Bank,Dong A Commercial Joint Stock Bank,Dong A Commercial Joint Stock Bank,"136,265,460,000",(*),"(136,265,460,000)","136,265,460,000",(*),"(136,265,460,000)",,,,,,
Saigon Packaging Group Joint Stock Company,Saigon Packaging Group Joint Stock Company,Saigon Packaging Group Joint Stock Company,"50,000,000,000",(*),"(4,643,345,605)","50,000,000,000",(*),-,,,,,,
PVI Holdings,PVI Holdings,PVI Holdings,"51,475,140,000","21,751,027,200","(29,724,112,800)","51,475,140,000","23,304,672,000","(28,170,468,000)",,,,,,
Underground Space Investment Development Corporation,Underground Space Investment Development Corporation,Underground Space Investment Development Corporation,"23,085,000,000",(*),"(23,085,000,000)","23,085,000,000",(*),"(23,085,000,000)",,,,,,
Phuong Dong Petroleum Tourism Joint Stock Company,Phuong Dong Petroleum Tourism Joint Stock Company,Phuong Dong Petroleum Tourism Joint Stock Company,"30,700,950,000","8,068,340,000","(30,700,950,000)","30,700,950,000","6,721,909,091","(30,700,950,000)",,,,,,
Saigon Securities Investment Fund A2,Saigon Securities Investment Fund A2,Saigon Securities Investment Fund A2,"35,757,720,722",(*),"(35,757,720,722)","35,757,720,722",(*),"(35,757,720,722)",,,,,,
Saigon Beer Transportation Joint Stock Company,Saigon Beer Transportation Joint Stock Company,Saigon Beer Transportation Joint Stock Company,"26,588,267,394",(*),-,"26,588,267,394",(*),-,,,,,,
Vietnam - Binh Tay Alcohol Joint Stock Company,Vietnam - Binh Tay Alcohol Joint Stock Company,Vietnam - Binh Tay Alcohol Joint Stock Company,"300,000,000",(*),"(300,000,000)","300,000,000",(*),"(300,000,000)",,,,,,
Nha Trang Trade Tourism Joint Stock Company,Nha Trang Trade Tourism Joint Stock Company,Nha Trang Trade Tourism Joint Stock Company,"1,161,147,000",(*),"(1,161,147,000)","1,161,147,000",(*),"(1,161,147,000)",,,,,,
Dai Viet Securities Incorporation,Dai Viet Securities Incorporation,Dai Viet Securities Incorporation,"45,000,000,000",(*),"(45,000,000,000)","45,000,000,000",(*),"(45,000,000,000)",,,,,,
Sabeco HP Investment Company Limited,Sabeco HP Investment Company Limited,Sabeco HP Investment Company Limited,"24,426,586,800",(*),"(24,426,586,800)","24,426,586,800",(*),"(24,426,586,800)",,,,,,
Sai Gon - Dong Nai Beer Joint Stock Company,Sai Gon - Dong Nai Beer Joint Stock Company,Sai Gon - Dong Nai Beer Joint Stock Company,"3,954,000,000",(*),"(3,954,000,000)","3,954,000,000",(*),"(3,954,000,000)",,,,,,
Saigon Dong Ha Tourist Joint Stock Company,Saigon Dong Ha Tourist Joint Stock Company,Saigon Dong Ha Tourist Joint Stock Company,"5,600,000,000",(*),"(5,600,000,000)","5,600,000,000",(*),"(5,600,000,000)",,,,,,
,,,"434,314,271,916",,"(340,618,322,927)","434,314,271,916",,"(334,421,332,522)",,,,,,
