row_label_raw,row_label_full,col_0,1/1/2023VND,IncurredVND,PaidVND,Net-offVND,Reclassified to taxesreceivableVND,31/12/2023VND,numeric__1/1/2023VND,numeric__IncurredVND,numeric__PaidVND,numeric__Net-offVND,numeric__Reclassified to taxesreceivableVND,numeric__31/12/2023VND
Special sales tax,Special sales tax,Special sales tax,"1,008,651,110,119","8,871,917,712,802","(9,041,549,818,574)",-,-,"839,019,004,347",,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"349,173,660,448","1,099,082,811,973","(1,099,769,434,435)","(1,537,857,641)","40,765,796","346,989,946,141",,,,,,
Value added tax,Value added tax,Value added tax,"239,800,238,740","15,285,903,064,394","(1,936,511,181,787)","(13,443,940,324,331)",-,"145,251,797,016",,,,,,
Personal income tax,Personal income tax,Personal income tax,"15,108,109,964","117,750,546,206","(119,529,746,190)","(453,562,640)","622,449,342","13,497,796,682",,,,,,
Import-export tax,Import-export tax,Import-export tax,-,"9,602,187,035","(9,602,187,035)",-,-,-,,,,,,
Other taxes,Other taxes,Other taxes,"8,284,937,686","204,008,663,648","(191,100,464,417)","(8,399,087,947)","963,044,678","13,757,093,648",,,,,,
,,,"1,621,018,056,957","25,588,264,986,058","(12,398,062,832,438)","(13,454,330,832,559)","1,626,259,816","1,358,515,637,834",,,,,,
