row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tài sản khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.201.445.261.235,8.817.189.366.741,239.476.610.325,171.996.538.981,9.972.781.641,11.440.080.558.923,2201445261235.0,8817189366741.0,239476610325.0,171996538981.0,9972781641.0,11440080558923.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.456.953.522,26.049.931.976,1.308.181.818,4.492.046.746,-,34.307.114.062,2456953522.0,26049931976.0,1308181818.0,4492046746.0,,34307114062.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,3.034.527.092,31.348.497.230,109.789.493,951.008.220,-,35.443.822.035,3034527092.0,31348497230.0,109789493.0,951008220.0,,35443822035.0
Chuyển từ bất động sản đầu tư,Nguyên giá > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,5.374.645.816,-,-,-,-,5.374.645.816,5374645816.0,,,,,5374645816.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(2.280.037.663),(863.477.273),-,-,-,(3.143.514.936),-2280037663.0,-863477273.0,,,,-3143514936.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(406.808.331),-,406.808.331,-,-,,-406808331.0,,406808331.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(674.124.101),(16.354.064.804),(4.749.758.237),(1.967.351.793),-,(23.745.298.935),-674124101.0,-16354064804.0,-4749758237.0,-1967351793.0,,-23745298935.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.209.357.225.901,8.856.963.445.539,236.144.823.399,175.879.050.485,9.972.781.641,11.488.317.326.965,2209357225901.0,8856963445539.0,236144823399.0,175879050485.0,9972781641.0,11488317326965.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.271.919.935.121,6.433.084.220.444,207.897.643.646,149.543.012.413,8.654.114.064,8.071.098.925.688,1271919935121.0,6433084220444.0,207897643646.0,149543012413.0,8654114064.0,8071098925688.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,93.835.138.089,431.288.782.706,10.426.975.293,10.045.533.227,471.741.096,546.068.170.411,93835138089.0,431288782706.0,10426975293.0,10045533227.0,471741096.0,546068170411.0
Chuyển từ bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,5.286.669.463,-,-,-,-,5.286.669.463,5286669463.0,,,,,5286669463.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(16.852.808),-,16.852.808,-,-,,-16852808.0,,16852808.0,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(674.124.101),(16.354.064.804),(4.749.758.237),(1.967.351.793),-,(23.745.298.935),-674124101.0,-16354064804.0,-4749758237.0,-1967351793.0,,-23745298935.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.370.367.618.572,6.848.002.085.538,213.574.860.702,157.638.046.655,9.125.855.160,8.598.708.466.627,1370367618572.0,6848002085538.0,213574860702.0,157638046655.0,9125855160.0,8598708466627.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,929.525.326.114,2.384.105.146.297,31.578.966.679,22.453.526.568,1.318.667.577,3.368.981.633.235,929525326114.0,2384105146297.0,31578966679.0,22453526568.0,1318667577.0,3368981633235.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,838.989.607.329,2.008.961.360.001,22.569.962.697,18.241.003.830,846.926.481,2.889.608.860.338,838989607329.0,2008961360001.0,22569962697.0,18241003830.0,846926481.0,2889608860338.0
