row_label_raw,row_label_full,col_0,Code Note,2023VND,2022VND,numeric__Code Note,numeric__2023VND,numeric__2022VND
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,,
Payments for additions to fixed assetsand other long-term assets,CASH FLOWS FROM INVESTING ACTIVITIES > Payments for additions to fixed assetsand other long-term assets,Payments for additions to fixed assetsand other long-term assets,21,"(283,734,894,513)","(533,164,261,997)",21.0,,
Proceeds from disposals of fixed assets,CASH FLOWS FROM INVESTING ACTIVITIES > Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,22,"2,485,031,224","4,266,273,000",22.0,,
Placements of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Placements of term deposits at banks,Placements of term deposits at banks,23,"(17,562,407,857,117)","(22,641,269,675,342)",23.0,,
Collections of term deposits at banks,CASH FLOWS FROM INVESTING ACTIVITIES > Collections of term deposits at banks,Collections of term deposits at banks,24,"19,195,704,939,452","20,288,539,175,342",24.0,,
Receipts of interests and dividends,CASH FLOWS FROM INVESTING ACTIVITIES > Receipts of interests and dividends,Receipts of interests and dividends,27,"1,363,536,248,562","1,013,860,242,106",27.0,,
Net cash flows from investing activities,CASH FLOWS FROM INVESTING ACTIVITIES > Net cash flows from investing activities,Net cash flows from investing activities,30,"2,715,583,467,608","(1,867,768,246,891)",30.0,,
CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,
Proceeds from borrowings,CASH FLOWS FROM FINANCING ACTIVITIES > Proceeds from borrowings,Proceeds from borrowings,33,"4,130,545,304,850","3,279,890,701,619",33.0,,
Payments to settle loan principals,CASH FLOWS FROM FINANCING ACTIVITIES > Payments to settle loan principals,Payments to settle loan principals,34,"(4,461,477,622,999)","(2,908,733,012,244)",34.0,,
Payments of dividends,CASH FLOWS FROM FINANCING ACTIVITIES > Payments of dividends,Payments of dividends,36,"(3,354,092,726,063)","(2,418,865,072,091)",36.0,,
Net cash flows from financing activities,CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows from financing activities,Net cash flows from financing activities,40,"(3,685,025,044,212)","(2,047,707,382,716)",40.0,,
Net cash flows during the year(50 = 20 + 30 + 40),CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows during the year(50 = 20 + 30 + 40),Net cash flows during the year(50 = 20 + 30 + 40),50,"970,622,531,875","463,041,793,433",50.0,,
Cash and cash equivalents at the beginning of the year,CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,"4,069,464,160,642","3,606,454,403,209",60.0,,
Effect of exchange rate fluctuations on cash and cash equivalents,CASH FLOWS FROM FINANCING ACTIVITIES > Effect of exchange rate fluctuations on cash and cash equivalents,Effect of exchange rate fluctuations on cash and cash equivalents,61,"(178,661,917)","(32,036,000)",61.0,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,"5,039,908,030,600","4,069,464,160,642",70.0,,
