row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá quy đổi ngoại tệ VND,Quỹ đầu tư và phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của chủ sở hữu Tổng Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá quy đổi ngoại tệ VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của chủ sở hữu Tổng Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,6.412.811.860.000,3.208.666.226,37.136.373.047,1.122.241.373.127,15.564.895.669.872,23.140.293.942.272,1.450.551.977.121,24.590.845.919.393,6412811860000.0,3208666226.0,37136373047.0,1122241373127.0,15564895669872.0,23140293942272.0,1450551977121.0,24590845919393.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.117.605.068.688,4.117.605.068.688,137.447.927.021,4.255.052.995.709,,,,,4117605068688.0,4117605068688.0,137447927021.0,4255052995709.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,(100.704.276.928),(100.704.276.928),(15.617.038.271),(116.321.315.199),,,,,-100704276928.0,-100704276928.0,-15617038271.0,-116321315199.0
"Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Điều chính quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,(22.040.207.391),(22.040.207.391),(4.055.022.930),(26.095.230.321),,,,,-22040207391.0,-22040207391.0,-4055022930.0,-26095230321.0
Cổ phiếu thưởng (Thuyết minh 29),Cổ phiếu thưởng (Thuyết minh 29),Cổ phiếu thưởng (Thuyết minh 29),6.412.811.860.000,-,-,-,(6.412.811.860.000),-,-,-,6412811860000.0,,,,-6412811860000.0,,,
Cổ tức bằng tiền (Thuyết minh 29),Cổ tức bằng tiền (Thuyết minh 29),Cổ tức bằng tiền (Thuyết minh 29),-,-,-,-,(2.885.765.337.000),(2.885.765.337.000),(151.819.075.102),(3.037.584.412.102),,,,,-2885765337000.0,-2885765337000.0,-151819075102.0,-3037584412102.0
Chênh lệch tỷ giá quy đổi ngoại tệ,Chênh lệch tỷ giá quy đổi ngoại tệ,Chênh lệch tỷ giá quy đổi ngoại tệ,-,-,6.817.828.252,-,-,6.817.828.252,-,6.817.828.252,,,6817828252.0,,,6817828252.0,,6817828252.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,-,-,(22.402.818.968),(22.402.818.968),(790.976.515),(23.193.795.483),,,,,-22402818968.0,-22402818968.0,-790976515.0,-23193795483.0
Điều chính quỹ công tác xã hội,Điều chính quỹ công tác xã hội,Điều chính quỹ công tác xã hội,-,-,-,-,157.659.392,157.659.392,132.394.526,290.053.918,,,,,157659392.0,157659392.0,132394526.0,290053918.0
Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 5),Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 5),Thay đổi tỷ lệ lợi ích cổ đông không kiểm soát (Thuyết minh 5),-,-,-,-,(21.649.847.484),(21.649.847.484),(143.004.301.816),(164.654.149.300),,,,,-21649847484.0,-21649847484.0,-143004301816.0,-164654149300.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,12.825.623.720.000,3.208.666.226,43.954.201.299,1.122.241.373.127,10.217.284.050.181,24.212.312.010.833,1.272.845.884.034,25.485.157.894.867,12825623720000.0,3208666226.0,43954201299.0,1122241373127.0,10217284050181.0,24212312010833.0,1272845884034.0,25485157894867.0
