row_label_raw,row_label_full,col_0,Code Note,2023VND,2022VND,numeric__Code Note,numeric__2023VND,numeric__2022VND
CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,CASH FLOWS FROM OPERATING ACTIVITIES,,,
Accounting profit before tax,CASH FLOWS FROM OPERATING ACTIVITIES > Accounting profit before tax,Accounting profit before tax,01,"5,370,410,404,295","6,813,417,318,962",1.0,,
Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,Adjustments for,,,
Depreciation and amortisation,Adjustments for > Depreciation and amortisation,Depreciation and amortisation,02,"570,032,022,357","561,105,325,398",2.0,,
Allowances and provisions,Adjustments for > Allowances and provisions,Allowances and provisions,03,"3,417,866,623","(375,364,909)",3.0,,
Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,Exchange losses/(gains) arising from revaluation of monetary items,,,
denominated in foreign currencies,Exchange losses/(gains) arising from revaluation of monetary items > denominated in foreign currencies,denominated in foreign currencies,04,"8,344,264,858","(6,770,234,675)",4.0,,
Profits from investing activities,Exchange losses/(gains) arising from revaluation of monetary items > Profits from investing activities,Profits from investing activities,05,"(1,393,861,414,492)","(1,030,693,700,071)",5.0,,
Shared profits in associates and jointly controlled entities,Exchange losses/(gains) arising from revaluation of monetary items > Shared profits in associates and jointly controlled entities,Shared profits in associates and jointly controlled entities,05,"(232,053,894,657)","(323,119,361,276)",5.0,,
Interest expense,Exchange losses/(gains) arising from revaluation of monetary items > Interest expense,Interest expense,06,"50,214,725,919","45,517,297,000",6.0,,
Operating profit before changes in working capital,Exchange losses/(gains) arising from revaluation of monetary items > Operating profit before changes in working capital,Operating profit before changes in working capital,08,"4,376,503,974,903","6,059,081,280,429",8.0,,
Change in receivables and other assets,Exchange losses/(gains) arising from revaluation of monetary items > Change in receivables and other assets,Change in receivables and other assets,09,"(39,584,410,728)","(318,889,338,291)",9.0,,
Change in inventories,Exchange losses/(gains) arising from revaluation of monetary items > Change in inventories,Change in inventories,10,"(135,490,197,099)","(524,913,148,727)",10.0,,
Change in payables and other liabilities,Exchange losses/(gains) arising from revaluation of monetary items > Change in payables and other liabilities,Change in payables and other liabilities,11,"(787,119,601,677)","739,396,642,915",11.0,,
Change in prepaid expenses,Exchange losses/(gains) arising from revaluation of monetary items > Change in prepaid expenses,Change in prepaid expenses,12,"(146,695,187,651)","(94,057,434,127)",12.0,,
,,,,"3,267,614,577,748","5,860,618,002,199",,,
Interest paid,Exchange losses/(gains) arising from revaluation of monetary items > Interest paid,Interest paid,14,"(50,352,399,174)","(48,765,455,244)",14.0,,
Corporate income tax paid,Exchange losses/(gains) arising from revaluation of monetary items > Corporate income tax paid,Corporate income tax paid,15,"(1,099,769,434,435)","(1,329,727,378,601)",15.0,,
Other payments for operating activities,Exchange losses/(gains) arising from revaluation of monetary items > Other payments for operating activities,Other payments for operating activities,17,"(177,428,635,660)","(103,607,745,314)",17.0,,
Net cash flows from operating activities,Exchange losses/(gains) arising from revaluation of monetary items > Net cash flows from operating activities,Net cash flows from operating activities,20,"1,940,064,108,479","4,378,517,423,040",20.0,,
