row_label_raw,row_label_full,Hội đồng quản trị > Ông NGUYỄN TIÊN DŨNG > Ông VŨ HỒNG NAM > Ông VŨ MẠNH TIẾN > Ông LÊ HỒNG PHƯƠNG > Bà NGUYỄN THỊ MAI > Ông PHẠM THẾ HIỆP > Bà TRẦN HÀI ANH > Ông TRẦN KIM CHUNG > Ông LÊ XUẤN NGHĨA,Chủ tịch > Phó chủ tịch > Thành viên thường trực > Thành viên > Thành viên độc lập,Ngày bổ nhiệm > 10/11/2017 > 26/04/2018 > 24/04/2015 > 26/04/2019 > 10/11/2017 > 09/11/2017 > 24/04/2015,Ngày miễn nhiệm > 26/04/2019,numeric__Chủ tịch > Phó chủ tịch > Thành viên thường trực > Thành viên > Thành viên độc lập,numeric__Ngày bổ nhiệm > 10/11/2017 > 26/04/2018 > 24/04/2015 > 26/04/2019 > 10/11/2017 > 09/11/2017 > 24/04/2015,numeric__Ngày miễn nhiệm > 26/04/2019
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,,,
Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Bà TRẦN THỊ HÀ GIANG,Trưởng ban,26/04/2018,,,,
Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Bà VŨ KIM PHƯỢNG,Thành viên,24/04/2015,,,,
Ông LÊ TRỌNG HIỀU,Ông LÊ TRỌNG HIỀU,Ông LÊ TRỌNG HIỀU,Thành viên,24/04/2015,,,,
Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,Ban Tổng Giám đốc và Kế toán trường,,,
Ông PHẠM THẾ HIỆP,Ông PHẠM THẾ HIỆP,Ông PHẠM THẾ HIỆP,Tổng Giám đốc,19/07/2019,,,,
Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Ông LÊ HỒNG PHƯƠNG,Tổng Giám đốc,18/10/2017,06/05/2019,,,
Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Bà DƯƠNG THỊ LỆ HÀ,Phó Tổng giám đốc thường trực,26/04/2018,,,,
Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Ông VŨ MẠNH TIẾN,Phó Tổng giám đốc,11/11/2013,26/01/2019,,,
Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Bà NGUYỄN THỊ MAI,Phó Tổng giám đốc,06/02/2013,26/01/2019,,,
Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Ông NGUYỄN ĐÌNH TUẤN,Phó Tổng giám đốc,26/01/2019,,,,
Ông HOÀNG TUẤN TÚ,Ông HOÀNG TUẤN TÚ,Ông HOÀNG TUẤN TÚ,Phó Tổng giám đốc,13/11/2017,,,,
Ông NGUYỄN HỒNG LONG,Ông NGUYỄN HỒNG LONG,Ông NGUYỄN HỒNG LONG,Phó Tổng giám đốc,21/08/2017,,,,
Ông ĐỒ DANH HÀI,Ông ĐỒ DANH HÀI,Ông ĐỒ DANH HÀI,Phó Tổng giám đốc,01/10/2019,,,,
Bà HÀ THỊ LINH,Bà HÀ THỊ LINH,Bà HÀ THỊ LINH,Phó Tổng giám đốc,19/11/2019,,,,
Ông TRẦN THANH QUANG,Ông TRẦN THANH QUANG,Ông TRẦN THANH QUANG,Phó Tổng giám đốc,01/10/2019,,,,
Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Bà ĐỒ THỊ THANH HƯỜNG,Kế toán trường,01/08/2016,,,,
