row_label_raw,row_label_full,"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
Tiền gửi của TCKT,Tiền gửi của TCKT,Tiền gửi của TCKT,8.134.578,9.103.562,8134578.0,9103562.0
Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,2.538.936,3.230.787,2538936.0,3230787.0
"Công ty CP, TNHH, Hợp danh","Công ty CP, TNHH, Hợp danh","Công ty CP, TNHH, Hợp danh",4.712.405,3.860.744,4712405.0,3860744.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,1.046,1.654.864,1046.0,1654864.0
"Công ty chứng khoản, bảo hiểm, tài chính","Công ty chứng khoản, bảo hiểm, tài chính","Công ty chứng khoản, bảo hiểm, tài chính",241.308,247.343,241308.0,247343.0
"Kinh tế cá thể, Kinh tế tập thể","Kinh tế cá thể, Kinh tế tập thể","Kinh tế cá thể, Kinh tế tập thể",398.383,78.402,398383.0,78402.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,242.500,31.422,242500.0,31422.0
Tiền gửi của cá nhân,Tiền gửi của cá nhân,Tiền gửi của cá nhân,50.978.754,38.113.055,50978754.0,38113055.0
Tổng cộng,Tổng cộng,Tổng cộng,59.113.332,47.216.617,59113332.0,47216617.0
