row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 01 đến 03 tháng,Từ 03 đến 06 tháng,Từ 06 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 01 đến 03 tháng,numeric__Từ 03 đến 06 tháng,numeric__Từ 06 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,291.598,-,-,-,-,-,-,291.598,,291598.0,,,,,,,291598.0
Tiền gói tại ngân hàng Nhà nước,Tiền gói tại ngân hàng Nhà nước,Tiền gói tại ngân hàng Nhà nước,-,-,1.587.706,-,-,-,-,-,1.587.706,,,1587706.0,,,,,,1587706.0
"Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)",-,-,6.651.832,32.000,-,-,-,-,6.683.832,,,6651832.0,32000.0,,,,,6683832.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,9.948,9.375,12.616,21.140,-,-,53.079,,,9948.0,9375.0,12616.0,21140.0,,,53079.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),2.006.201,-,9.551.732,16.526.295,2.937.085,1.806.936,2.769.268,76.594,35.674.111,2006201.0,,9551732.0,16526295.0,2937085.0,1806936.0,2769268.0,76594.0,35674111.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,-,-,-,-,10.022,-,10.022,,,,,,,10022.0,,10022.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,123.536,1.076.261,907.000,350.000,515.618,8.266.196,4.979.821,16.218.432,,123536.0,1076261.0,907000.0,350000.0,515618.0,8266196.0,4979821.0,16218432.0
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,769.600,769.600,,,,,,,,769600.0,769600.0
Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,-,-,614.238,614.238,,,,,,,,614238.0,614238.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,10.391.874,165.209,253.479,221.621,56.042,2.660,13.725,11.104.610,,10391874.0,165209.0,253479.0,221621.0,56042.0,2660.0,13725.0,11104610.0
