row_label_raw,row_label_full,4.2. Phân tích dư nợ theo thời gian,4.2. Phân tích dư nợ theo thời gian_1,4.2. Phân tích dư nợ theo thời gian_2,numeric__4.2. Phân tích dư nợ theo thời gian_1,numeric__4.2. Phân tích dư nợ theo thời gian_2
,,,31/12/2019,01/01/2019,,
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,14.598.969,14.856.703,14598969.0,14856703.0
Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,8.833.341,9.781.943,8833341.0,9781943.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,14.478.293,11.035.465,14478293.0,11035465.0
Tổng cộng,Tổng cộng,Tổng cộng,37.910.603,35.674.111,37910603.0,35674111.0
4.3 Phân tích dư nợ cho vay theo ngành,4.3 Phân tích dư nợ cho vay theo ngành,4.3 Phân tích dư nợ cho vay theo ngành,4.3 Phân tích dư nợ cho vay theo ngành,4.3 Phân tích dư nợ cho vay theo ngành,,
,,,31/12/2019,01/01/2019,,
Nông nghiệp và lâm nghiệp,4.3 Phân tích dư nợ cho vay theo ngành > Nông nghiệp và lâm nghiệp,Nông nghiệp và lâm nghiệp,70.340,91.485,70340.0,91485.0
"Công nghiệp chế biến, chế tạo","4.3 Phân tích dư nợ cho vay theo ngành > Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",970.937,1.095.271,970937.0,1095271.0
Xây dựng,4.3 Phân tích dư nợ cho vay theo ngành > Xây dựng,Xây dựng,8.577.346,8.008.597,8577346.0,8008597.0
"Bán buôn và bán lé; sữa chữa ô tô, mô tô, xe máy và động cơ khác","4.3 Phân tích dư nợ cho vay theo ngành > Bán buôn và bán lé; sữa chữa ô tô, mô tô, xe máy và động cơ khác","Bán buôn và bán lé; sữa chữa ô tô, mô tô, xe máy và động cơ khác",1.136.126,1.177.741,1136126.0,1177741.0
Dịch vụ lưu trú và ăn uống,4.3 Phân tích dư nợ cho vay theo ngành > Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,932.139,949.973,932139.0,949973.0
Vận tải kho bãi,4.3 Phân tích dư nợ cho vay theo ngành > Vận tải kho bãi,Vận tải kho bãi,4.203.491,6.710.582,4203491.0,6710582.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","4.3 Phân tích dư nợ cho vay theo ngành > Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",8.391.076,5.134.901,8391076.0,5134901.0
Giáo dục và đào tạo,4.3 Phân tích dư nợ cho vay theo ngành > Giáo dục và đào tạo,Giáo dục và đào tạo,137,770,137.0,770.0
Y tế và hoạt động trợ giúp xã hội,4.3 Phân tích dư nợ cho vay theo ngành > Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,42.249,51.038,42249.0,51038.0
Hoạt động dịch vụ khác,4.3 Phân tích dư nợ cho vay theo ngành > Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,3.245.550,2.841.430,3245550.0,2841430.0
Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,4.3 Phân tích dư nợ cho vay theo ngành > Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,Sản xuất sản phẩm vật chất và dịch vụ tiêu dùng của hộ gia đình,10.341.212,9.612.323,10341212.0,9612323.0
Tổng cộng,4.3 Phân tích dư nợ cho vay theo ngành > Tổng cộng,Tổng cộng,37.910.603,35.674.111,37910603.0,35674111.0
5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,5. Đối với sự thay đổi (tăng/giảm) của Dự phòng rủi ro tín dụng,,
Năm nay,Năm nay,Năm nay,Dự phòng chung,Dự phòng cụ thể,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,267.297,125.285,267297.0,125285.0
Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Năm nay > Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,11.613,61.185,11613.0,61185.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm nay > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(38.204),,-38204.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,278.910,148.266,278910.0,148266.0
Năm trước,Năm trước,Năm trước,Dự phòng chung,Dự phòng cụ thể,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,228.196,131.051,228196.0,131051.0
Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Năm trước > Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,Dự phòng rủi ro trích lập / (hoàn nhập) trong năm,39.101,73.527,39101.0,73527.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm trước > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(79.293),,-79293.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,267.297,125.285,267297.0,125285.0
Chi tiết số dự phòng cuối năm,Chi tiết số dự phòng cuối năm,Chi tiết số dự phòng cuối năm,31/12/2019,01/01/2019,,
Dự phòng chung tín dụng khác đối với các TCTD trong nước,Dự phòng chung tín dụng khác đối với các TCTD trong nước,Dự phòng chung tín dụng khác đối với các TCTD trong nước,-,-,,
Dự phòng rủi ro cho vay khách hàng,Dự phòng chung tín dụng khác đối với các TCTD trong nước > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,427.176,392.582,427176.0,392582.0
+ Dự phòng chung,Dự phòng chung tín dụng khác đối với các TCTD trong nước > + Dự phòng chung,+ Dự phòng chung,278.910,267.297,278910.0,267297.0
+ Dự phòng cụ thể,Dự phòng chung tín dụng khác đối với các TCTD trong nước > + Dự phòng cụ thể,+ Dự phòng cụ thể,148.266,125.285,148266.0,125285.0
Cộng,Dự phòng chung tín dụng khác đối với các TCTD trong nước > Cộng,Cộng,427.176,392.582,427176.0,392582.0
