row_label_raw,row_label_full,Chi tiêu,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Tổng
Chi tiêu,Chi tiêu,Chi tiêu,Trên 3 tháng,Dế n 3 tháng,Dế n 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Trên 1 năm,Tổng,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Chi tiêu > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,231.724,-,-,-,231.724,,,231724.0,,,,231724.0
Tiền gói tại ngân hàng Nhà nước,Chi tiêu > Tiền gói tại ngân hàng Nhà nước,Tiền gói tại ngân hàng Nhà nước,-,-,494.362,-,-,-,494.362,,,494362.0,,,,494362.0
"Tiền, vàng gói tại và cho vay các TCTD khác (*)","Chi tiêu > Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)",-,-,14.876.695,397.950,-,-,15.274.645,,,14876695.0,397950.0,,,15274645.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Chi tiêu > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,26.786,2.322,14.817,-,43.925,,,26786.0,2322.0,14817.0,,43925.0
Cho vay khách hàng (*),Chi tiêu > Cho vay khách hàng (*),Cho vay khách hàng (*),529.524,2.538.232,1.699.167,3.456.007,10.878.193,18.809.480,37.910.603,529524.0,2538232.0,1699167.0,3456007.0,10878193.0,18809480.0,37910603.0
Hoạt động mua nợ (*),Hoạt động mua nợ (*),Hoạt động mua nợ (*),-,-,-,-,-,-,-,,,,,,,
Chứng khoán đầu tư (*),Hoạt động mua nợ (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,528.870,199.775,2.340.603,10.210.557,13.279.805,,,528870.0,199775.0,2340603.0,10210557.0,13279805.0
"Góp vốn, đầu tư dài hạn (*)","Hoạt động mua nợ (*) > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,769.600,769.600,,,,,,769600.0,769600.0
Tài sản cố định và Bất động sản đầu tư,Hoạt động mua nợ (*) > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,588.620,588.620,,,,,,588620.0,588620.0
Tài sản Có khác (*),Hoạt động mua nợ (*) > Tài sản Có khác (*),Tài sản Có khác (*),-,-,208.682,162.947,155.817,12.060.762,12.588.208,,,208682.0,162947.0,155817.0,12060762.0,12588208.0
Tổng Tài sản,Hoạt động mua nợ (*) > Tổng Tài sản,Tổng Tài sản,529.524,2.538.232,18.066.286,4.219.001,13.389.430,42.439.019,81.181.492,529524.0,2538232.0,18066286.0,4219001.0,13389430.0,42439019.0,81181492.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,11.341.680,1.072.417,-,-,12.414.097,,,11341680.0,1072417.0,,,12414097.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,13.185.900,10.319.648,30.322.831,5.284.953,59.113.332,,,13185900.0,10319648.0,30322831.0,5284953.0,59113332.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,116.477,116.477,,,,,,116477.0,116477.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,148.778,147.064,540.692,1.867.656,2.704.190,,,148778.0,147064.0,540692.0,1867656.0,2704190.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,471.106,367.119,711.005,201.287,1.750.517,,,471106.0,367119.0,711005.0,201287.0,1750517.0
Tổng Nợ phải trả,Nợ phải trả > Tổng Nợ phải trả,Tổng Nợ phải trả,-,-,25.147.464,11.906.248,31.574.528,7.470.373,76.098.613,,,25147464.0,11906248.0,31574528.0,7470373.0,76098613.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,529.524,2.538.232,(7.081.178),(7.687.247),(18.185.098),34.968.646,5.082.879,529524.0,2538232.0,-7081178.0,-7687247.0,-18185098.0,34968646.0,5082879.0
