row_label_raw,row_label_full,6. Hoạt động mua nợ,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
Mua nợ bằng VND,Mua nợ bằng VND,Mua nợ bằng VND,-,10.022,,10022.0
Dự phòng rủi ro,Dự phòng rủi ro,Dự phòng rủi ro,-,(75),,-75.0
Cộng,Cộng,Cộng,-,9.947,,9947.0
7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,,,,
,,,31/12/2019,01/01/2019,,
7.1. Chứng khoán đầu tư sẵn sàng để bán,7.1. Chứng khoán đầu tư sẵn sàng để bán,7.1. Chứng khoán đầu tư sẵn sàng để bán,,,,
a. Chứng khoán Nợ,7.1. Chứng khoán đầu tư sẵn sàng để bán > a. Chứng khoán Nợ,a. Chứng khoán Nợ,6.913.703,8.864.536,6913703.0,8864536.0
- Trái phiếu Chính phủ,7.1. Chứng khoán đầu tư sẵn sàng để bán > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,5.697.451,5.928.452,5697451.0,5928452.0
- Chứng khoán do các TCTD khác trong nước phát hành,7.1. Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,1.216.252,2.936.084,1216252.0,2936084.0
Cộng,7.1. Chứng khoán đầu tư sẵn sàng để bán > Cộng,Cộng,6.913.703,8.864.536,6913703.0,8864536.0
7.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,7.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,7.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,,,
- Chứng khoán Nợ do các TCKT trong nước phát hành (*),7.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),6.366.102,7.353.896,6366102.0,7353896.0
7.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,7.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > 7.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,7.3. Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,(84.287),(85.487),-84287.0,-85487.0
Cộng,7.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,6.281.815,7.268.409,6281815.0,7268409.0
Tổng cộng,7.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,13.195.518,16.132.945,13195518.0,16132945.0
