row_label_raw,row_label_full,Chỉ tiêu,Quá hạn,Không chịu lãi,Đến 01 tháng,Từ 01 đến 03 tháng,Từ 03 đến 06 tháng,Từ 06 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 01 tháng,numeric__Từ 01 đến 03 tháng,numeric__Từ 03 đến 06 tháng,numeric__Từ 06 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,231.724,-,-,-,-,-,-,231.724,,231724.0,,,,,,,231724.0
Tiền gói tại ngăn hàng Nhà nước,Tiền gói tại ngăn hàng Nhà nước,Tiền gói tại ngăn hàng Nhà nước,-,-,494.362,-,-,-,-,-,494.362,,,494362.0,,,,,,494362.0
"Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)","Tiền, vàng gói tại và cho vay các TCTD khác (*)",-,-,14.876.695,397.950,-,-,-,-,15.274.645,,,14876695.0,397950.0,,,,,15274645.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,26.786,2.322,9.223,5.594,-,-,43.925,,,26786.0,2322.0,9223.0,5594.0,,,43925.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),3.067.535,-,8.370.567,22.620.190,2.020.508,1.200.101,495.974,135.728,37.910.603,3067535.0,,8370567.0,22620190.0,2020508.0,1200101.0,495974.0,135728.0,37910603.0
Hoạt động mua nợ (*),Hoạt động mua nợ (*),Hoạt động mua nợ (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Chứng khoán đầu tư (*),Hoạt động mua nợ (*) > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,105.703,778.870,200.000,1.067.021,1.273.290,6.194.736,3.660.185,13.279.805,,105703.0,778870.0,200000.0,1067021.0,1273290.0,6194736.0,3660185.0,13279805.0
"Gớp vốn, đầu tư dài hạn (*)","Hoạt động mua nợ (*) > Gớp vốn, đầu tư dài hạn (*)","Gớp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,769.600,769.600,,,,,,,,769600.0,769600.0
Tải sản cố định và Bắt động sản đầu tư,Hoạt động mua nợ (*) > Tải sản cố định và Bắt động sản đầu tư,Tải sản cố định và Bắt động sản đầu tư,-,-,-,-,-,-,-,588.620,588.620,,,,,,,,588620.0,588620.0
Tải sản Có khác (*),Hoạt động mua nợ (*) > Tải sản Có khác (*),Tải sản Có khác (*),-,11.958.553,156.812,209.810,200.377,46.272,2.659,13.725,12.588.208,,11958553.0,156812.0,209810.0,200377.0,46272.0,2659.0,13725.0,12588208.0
