row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,Nguyên giá TSCD hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCD hữu hình > Số dư đầu năm,Số dư đầu năm,44.394,124.667,51.298,72.842,1.652,294.853,44394.0,124667.0,51298.0,72842.0,1652.0,294853.0
- Mua trong năm,Nguyên giá TSCD hữu hình > - Mua trong năm,- Mua trong năm,-,6.288,-,6.392,-,12.680,,6288.0,,6392.0,,12680.0
"- Thanh lý, nhượng bán","Nguyên giá TSCD hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(5.398),-,-,(5.398),,,-5398.0,,,-5398.0
Số dư cuối năm,Nguyên giá TSCD hữu hình > Số dư cuối năm,Số dư cuối năm,44.394,130.955,45.900,79.234,1.652,302.135,44394.0,130955.0,45900.0,79234.0,1652.0,302135.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,7.774,47.736,32.343,42.935,858,131.646,7774.0,47736.0,32343.0,42935.0,858.0,131646.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,1.522,11.670,3.833,8.111,120,25.256,1522.0,11670.0,3833.0,8111.0,120.0,25256.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(5.398),-,-,(5.398),,,-5398.0,,,-5398.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,9.296,59.406,30.778,51.046,978,151.504,9296.0,59406.0,30778.0,51046.0,978.0,151504.0
Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,Giá trị còn lại của TSCD hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCD hữu hình > Số dư đầu năm,Số dư đầu năm,36.620,76.931,18.955,29.907,794,163.207,36620.0,76931.0,18955.0,29907.0,794.0,163207.0
Số dư cuối năm,Giá trị còn lại của TSCD hữu hình > Số dư cuối năm,Số dư cuối năm,35.098,71.549,15.122,28.188,674,150.631,35098.0,71549.0,15122.0,28188.0,674.0,150631.0
- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,- Các thông tin khác về tài sản cố định hữu hình:,31/12/2019,01/01/2019,,,,,,,,
* Cam kết mua TSCD có giá trị lớn trong tương lai,- Các thông tin khác về tài sản cố định hữu hình: > * Cam kết mua TSCD có giá trị lớn trong tương lai,* Cam kết mua TSCD có giá trị lớn trong tương lai,* Cam kết mua TSCD có giá trị lớn trong tương lai,* Cam kết mua TSCD có giá trị lớn trong tương lai,3.866,3.736,,,,,3866.0,3736.0,,
* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,- Các thông tin khác về tài sản cố định hữu hình: > * Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,* Nguyên giá tài sản cố định đã khấu hao hết nhưng vẫn còn sử dụng,51.069,45.743,,,,,51069.0,45743.0,,
